เดือน,ที่มา,_id,ปี,ค่า,รายการ,หน่วย
1,สำนักงานพาณิชย์จังหวัดกระบี่,1,2562,264470.699,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,2,2562,293805.084,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,3,2562,413215.453,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,4,2562,438521.311,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,5,2562,502536.545,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,6,2562,397831.8,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,7,2562,378935.018,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,8,2562,295287.814,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,9,2562,235037.04,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,10,2562,223812.888,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,11,2562,183435.945,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,12,2562,138239.977,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,13,2563,132190.551,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,14,2563,227992.298,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,15,2563,350668.157,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,16,2563,451411.835,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,17,2563,447573.671,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,18,2563,411382.922,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,19,2563,303824.463,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,20,2563,277431.237,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,21,2563,213964.074,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,22,2563,180435.904,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,23,2563,121738.971,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,24,2563,102088.197,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,25,2564,116732.403,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,26,2564,222116.532,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,27,2564,407761.173,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,28,2564,471650.485,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,29,2564,482063.164,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,30,2564,358169.366,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,31,2564,332542.716,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,32,2564,329727.231,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,33,2564,306097.116,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,34,2564,323542.765,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,35,2564,258356.049,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,36,2564,182716.741,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,37,2565,221412.128,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,38,2565,222125.272,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,39,2565,342675.237,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,40,2565,471650.49,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
5,สำนักงานพาณิชย์จังหวัดกระบี่,41,2565,363170.384,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
6,สำนักงานพาณิชย์จังหวัดกระบี่,42,2565,355733.006,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
7,สำนักงานพาณิชย์จังหวัดกระบี่,43,2565,345179.04,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
8,สำนักงานพาณิชย์จังหวัดกระบี่,44,2565,388272.947,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
9,สำนักงานพาณิชย์จังหวัดกระบี่,45,2565,452315.912,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
10,สำนักงานพาณิชย์จังหวัดกระบี่,46,2565,473007.866,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
11,สำนักงานพาณิชย์จังหวัดกระบี่,47,2565,398422.123,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
12,สำนักงานพาณิชย์จังหวัดกระบี่,48,2565,404402.434,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
1,สำนักงานพาณิชย์จังหวัดกระบี่,49,2566,424860.101,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
2,สำนักงานพาณิชย์จังหวัดกระบี่,50,2566,466945.942,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
3,สำนักงานพาณิชย์จังหวัดกระบี่,51,2566,418076.112,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
4,สำนักงานพาณิชย์จังหวัดกระบี่,52,2566,350132.205,ปริมาณปาล์มน้ำมันที่ใช้ในการผลิตในจังหวัดกระบี่,ตัน
