_id,ปี,เมืองอุตสาหกรรม,จังหวัด
1,2563,ระดับ 4,ระยอง
2,2563,ระดับ 4,ระยอง
3,2563,ระดับ 2,สมุทรปราการ
4,2563,ระดับ 2,สมุทรสาคร
5,2563,ระดับ 2,ฉะเชิงเทรา
6,2563,ระดับ 2,ปราจีนบุรี
7,2563,ระดับ 2,ชลบุรี
8,2563,ระดับ 4,ปทุมธานี
9,2563,ระดับ 2,ปทุมธานี
10,2563,ระดับ 3,นครปฐม
11,2563,ระดับ 2,ราชบุรี
12,2563,ระดับ 2,พระนครศรีอยุทธยา
13,2563,ระดับ 2,สระบุรี
14,2563,ระดับ 3,นครราชสีมา
15,2563,ระดับ 2,ขอนแก่น
16,2563,ระดับ 2,สงขลา
17,2563,ระดับ 2,สงขลา
18,2563,ระดับ 2,สุราษฎร์ธานี
19,2564,ระดับ 4,ระยอง
20,2564,ระดับ 4,ระยอง
21,2564,ระดับ 2,สมุทรปราการ
22,2564,ระดับ 2,สมุทรสาคร
23,2564,ระดับ 3,ฉะเชิงเทรา
24,2564,ระดับ 2,ปราจีนบุรี
25,2564,ระดับ 2,ชลบุรี
26,2564,ระดับ 4,ปทุมธานี
27,2564,ระดับ 2,ปทุมธานี
28,2564,ระดับ 3,นครปฐม
29,2564,ระดับ 3,ราชบุรี
30,2564,ระดับ 2,พระนครศรีอยุทธยา
31,2564,ระดับ 2,สระบุรี
32,2564,ระดับ 4,นครราชสีมา
33,2564,ระดับ 2,ขอนแก่น
34,2564,ระดับ 2,สงขลา
35,2564,ระดับ 3,สงขลา
36,2564,ระดับ 3,สุราษฎร์ธานี
37,2565,ระดับ 4,ระยอง
38,2565,ระดับ 4,ระยอง
39,2565,ระดับ 3,สมุทรปราการ
40,2565,ระดับ 3,สมุทรสาคร
41,2565,ระดับ 3,ฉะเชิงเทรา
42,2565,ระดับ 3,ปราจีนบุรี
43,2565,ระดับ 3,ชลบุรี
44,2565,ระดับ 4,ปทุมธานี
45,2565,ระดับ 3,ปทุมธานี
46,2565,ระดับ 3,นครปฐม
47,2565,ระดับ 3,ราชบุรี
48,2565,ระดับ 3,พระนครศรีอยุทธยา
49,2565,ระดับ 3,สระบุรี
50,2565,ระดับ 4,นครราชสีมา
51,2565,ระดับ 3,ขอนแก่น
52,2565,ระดับ 3,สงขลา
53,2565,ระดับ 3,สงขลา
54,2565,ระดับ 3,สุราษฎร์ธานี
55,2566,ระดับ 1,ขอนแก่น
56,2566,ระดับ 1,นครราชสีมา
57,2566,ระดับ 1,ปราจีน
58,2566,ระดับ 1,ฉะเชิงเทรา
59,2566,ระดับ 1,ระยอง
60,2566,ระดับ 1,ชลบุรี
61,2566,ระดับ 1,สมุทรปราการ
62,2566,ระดับ 1,สมุทรสาคร
63,2566,ระดับ 1,ปทุมธานี
64,2566,ระดับ 1,พระนครศรีอยุธยา
65,2566,ระดับ 1,ราชบุรี
66,2566,ระดับ 1,นครปฐม
67,2566,ระดับ 1,สระบุรี
68,2566,ระดับ 1,สุราษฎร์ธานี
69,2566,ระดับ 1,สงขลา
70,2566,ระดับ 2,ตาก
71,2566,ระดับ 2,นครราชสีมา
72,2566,ระดับ 2,ปราจีน
73,2566,ระดับ 2,ฉะเชิงเทรา
74,2566,ระดับ 2,ชลบุรี
75,2566,ระดับ 2,ระยอง
76,2566,ระดับ 2,ตราด
77,2566,ระดับ 2,สระบุรี
78,2566,ระดับ 2,ปทุมธานี
79,2566,ระดับ 2,สมุทรสาคร
80,2566,ระดับ 2,นครปฐม
81,2566,ระดับ 2,พระนครศรีอยุธยา
82,2566,ระดับ 2,สระบุรี
83,2566,ระดับ 2,ราชบุรี
84,2566,ระดับ 2,มุกดาหาร
85,2566,ระดับ 3,เชียงราย
86,2566,ระดับ 3,เชียงใหม่
87,2566,ระดับ 3,ลำพูน
88,2566,ระดับ 3,ลำปาง
89,2566,ระดับ 3,พิษณุโลก
90,2566,ระดับ 3,กำแพงเพชร
91,2566,ระดับ 3,นครสวรรค์
92,2566,ระดับ 3,ลพบุรี
93,2566,ระดับ 3,กาญจนบุรี
94,2566,ระดับ 3,สุพรรณบุรี
95,2566,ระดับ 3,ชัยภูมิ
96,2566,ระดับ 3,บุรีรัมย์
97,2566,ระดับ 3,อุดรธานี
98,2566,ระดับ 3,เพชรบุรี
99,2566,ระดับ 3,ประจวบคีรีขันธ์
100,2566,ระดับ 3,ชุมพร
101,2566,ระดับ 3,นครศรีธรรมราช
102,2566,ระดับ 3,กระบี่
103,2566,ระดับ 3,ภูเก็ต
