VALUE,Level_educational,SOURCE,_id,UNIT,YEAR
9.93,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,1,พันคน,2556
54.19,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,2,พันคน,2556
38.14,อนุปริญญา,สำนักงานสถิติแห่งชาติ,3,พันคน,2556
246.03,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,4,พันคน,2556
0.88,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,5,พันคน,2556
9.95,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,6,พันคน,2557
61.34,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,7,พันคน,2557
37.49,อนุปริญญา,สำนักงานสถิติแห่งชาติ,8,พันคน,2557
228.03,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,9,พันคน,2557
0.88,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,10,พันคน,2557
15.84,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,11,พันคน,2558
63.82,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,12,พันคน,2558
36.67,อนุปริญญา,สำนักงานสถิติแห่งชาติ,13,พันคน,2558
246.55,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,14,พันคน,2558
1.59,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,15,พันคน,2558
14.57,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,16,พันคน,2559
81.28,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,17,พันคน,2559
34.67,อนุปริญญา,สำนักงานสถิติแห่งชาติ,18,พันคน,2559
243.84,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,19,พันคน,2559
0.71,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,20,พันคน,2559
14.57,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,21,พันคน,2560
79.14,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,22,พันคน,2560
42.43,อนุปริญญา,สำนักงานสถิติแห่งชาติ,23,พันคน,2560
248.94,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,24,พันคน,2560
1.22,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,25,พันคน,2560
13.1,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,26,พันคน,2561
86.06,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,27,พันคน,2561
44.77,อนุปริญญา,สำนักงานสถิติแห่งชาติ,28,พันคน,2561
270.23,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,29,พันคน,2561
1.47,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,30,พันคน,2561
12.57,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,31,พันคน,2562
87.84,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,32,พันคน,2562
48.6,อนุปริญญา,สำนักงานสถิติแห่งชาติ,33,พันคน,2562
284.06,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,34,พันคน,2562
1.32,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,35,พันคน,2562
12.56,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,36,พันคน,2563
96.95,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,37,พันคน,2563
45.13,อนุปริญญา,สำนักงานสถิติแห่งชาติ,38,พันคน,2563
318.14,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,39,พันคน,2563
0.68,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,40,พันคน,2563
17.42,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,41,พันคน,2564
120.97,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,42,พันคน,2564
56.34,อนุปริญญา,สำนักงานสถิติแห่งชาติ,43,พันคน,2564
328.53,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,44,พันคน,2564
0.65,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,45,พันคน,2564
18.77,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,46,พันคน,2565
163.69,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,47,พันคน,2565
69.91,อนุปริญญา,สำนักงานสถิติแห่งชาติ,48,พันคน,2565
394.89,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,49,พันคน,2565
1.24,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,50,พันคน,2565
17.45,ประถมศึกษาและต่ำกว่า,สำนักงานสถิติแห่งชาติ,51,พันคน,2566
164.38,มัธยมศึกษา,สำนักงานสถิติแห่งชาติ,52,พันคน,2566
65.17,อนุปริญญา,สำนักงานสถิติแห่งชาติ,53,พันคน,2566
395.23,ปริญญาตรีขึ้นไป,สำนักงานสถิติแห่งชาติ,54,พันคน,2566
2.0,การศึกษาอื่นๆ,สำนักงานสถิติแห่งชาติ,55,พันคน,2566
