เดือน,_id,ปี,ปริมาณสินเชื่อรวม,หน่วย
มกราคม,1,2568," 36,965.00 ",ล้านบาท
กุมภาพันธ์,2,2568," 36,799.00 ",ล้านบาท
มีนาคม,3,2568," 36,547.00 ",ล้านบาท
เมษายน,4,2568," 36,443.00 ",ล้านบาท
พฤษภาคม,5,2568," 36,479.00 ",ล้านบาท
มิถุนายน,6,2568," 36,599.00 ",ล้านบาท
กรกฎาคม,7,2568," 36,487.00 ",ล้านบาท
สิงหาคม,8,2568," 36,575.00 ",ล้านบาท
กันยายน,9,2568," 36,163.00 ",ล้านบาท
ตุลาคม,10,2568," 36,179.00 ",ล้านบาท
พฤศจิกายน,11,2568," 36,069.00 ",ล้านบาท
ธันวาคม,12,2568," 36,137.00 ",ล้านบาท
