ที่มา,_id,ปี,หญิง,ชาย,รวม,รายการ,จังหวัด,หน่วย
สำนักงานสถิติจังหวัดบุรีรัมย์,1,2565,"298,045","357,930","655,975",จำนวนผู้มีงานทำ,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,2,2566,"294,204","351,868","656,072",จำนวนผู้มีงานทำ,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,3,2567,"284,835","345,078","629,913",จำนวนผู้มีงานทำ,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,4,2568,"282,177","330,843","613,020",จำนวนผู้มีงานทำ,บุรีรัมย์,คน
