จำนวน,ประเภท,ที่มา,_id,ปี,ชนิดพืช,หน่วยนับ,อำเภอ,รายการข้อมูล
416.5,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,1,2569,พืชเศรษฐกิจ,ไร่,เมืองนครราชสีมา,เนื้อที่เพาะปลูกอ้อยโรงงาน
11053,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,2,2569,พืชเศรษฐกิจ,ไร่,ครบุรี,เนื้อที่เพาะปลูกอ้อยโรงงาน
15024.16,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,3,2569,พืชเศรษฐกิจ,ไร่,คง,เนื้อที่เพาะปลูกอ้อยโรงงาน
7152,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,4,2569,พืชเศรษฐกิจ,ไร่,บ้านเหลื่อม,เนื้อที่เพาะปลูกอ้อยโรงงาน
57503.5,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,5,2569,พืชเศรษฐกิจ,ไร่,จักราช,เนื้อที่เพาะปลูกอ้อยโรงงาน
27336,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,6,2569,พืชเศรษฐกิจ,ไร่,โชคชัย,เนื้อที่เพาะปลูกอ้อยโรงงาน
120025,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,7,2569,พืชเศรษฐกิจ,ไร่,ด่านขุนทด,เนื้อที่เพาะปลูกอ้อยโรงงาน
11987,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,8,2569,พืชเศรษฐกิจ,ไร่,โนนไทย,เนื้อที่เพาะปลูกอ้อยโรงงาน
5805.5,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,9,2569,พืชเศรษฐกิจ,ไร่,โนนสูง,เนื้อที่เพาะปลูกอ้อยโรงงาน
33278.5,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,10,2569,พืชเศรษฐกิจ,ไร่,ขามสะแกแสง,เนื้อที่เพาะปลูกอ้อยโรงงาน
11722.5,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,11,2569,พืชเศรษฐกิจ,ไร่,บัวใหญ่,เนื้อที่เพาะปลูกอ้อยโรงงาน
102,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,12,2569,พืชเศรษฐกิจ,ไร่,ประทาย,เนื้อที่เพาะปลูกอ้อยโรงงาน
64566.5,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,13,2569,พืชเศรษฐกิจ,ไร่,ปักธงชัย,เนื้อที่เพาะปลูกอ้อยโรงงาน
115662,อ้อยโรงงาน,สำนักงานเกษตรจังหวัดนครราชสีมา,14,2569,พืชเศรษฐกิจ,ไร่,พิมาย,เนื้อที่เพาะปลูกอ้อยโรงงาน
