_id,ปี,จำนวนโรงงาน (แห่ง),จังหวัด,จำนวนคนงาน (คน)
1,2565,6958,สมุทรปราการ,470295
2,2565,6458,สมุทรสาคร,372282
3,2565,6131,กรุงเทพมหานคร,372612
4,2565,5206,ชลบุรี,320320
5,2565,3399,ปทุมธานี,235556
6,2565,3384,นครปฐม,176994
7,2565,3075,ระยอง,196526
8,2565,2131,พระนครศรีอยุธยา,229389
9,2565,2021,ฉะเชิงเทรา,140932
10,2565,1912,นครราชสีมา,117228
11,2565,1607,สระบุรี,101167
12,2565,1569,นนทบุรี,75610
13,2565,1453,ราชบุรี,71426
14,2565,1225,สงขลา,72098
15,2565,1113,สุราษฎร์ธานี,40636
16,2565,1055,เชียงใหม่,33822
17,2565,993,กาญจนบุรี,41657
18,2565,943,ปราจีนบุรี,104710
19,2565,910,นครศรีธรรมราช,18634
20,2565,909,ขอนแก่น,57943
21,2565,879,นครสวรรค์,20240
22,2565,779,อุดรธานี,18469
23,2565,771,อุบลราชธานี,18800
24,2565,724,สุพรรณบุรี,19650
25,2565,678,ลพบุรี,59411
26,2565,676,เชียงราย,12533
27,2565,632,กำแพงเพชร,9285
28,2565,575,เพชรบูรณ์,17245
29,2565,557,ลำปาง,21990
30,2565,535,เพชรบุรี,27101
31,2565,525,สระแก้ว,11330
32,2565,490,ชุมพร,14784
33,2565,473,ตาก,36747
34,2565,467,ตรัง,24463
35,2565,460,ประจวบคีรีขันธ์,16343
36,2565,460,ลำพูน,28810
37,2565,441,พิษณุโลก,13329
38,2565,432,ร้อยเอ็ด,8451
39,2565,429,บุรีรัมย์,11503
40,2565,407,ศรีสะเกษ,5360
41,2565,406,ชัยภูมิ,11945
42,2565,400,กาฬสินธุ์,7336
43,2565,377,สุรินทร์,15535
44,2565,363,สุโขทัย,5933
45,2565,362,พิจิตร,8779
46,2565,359,กระบี่,8903
47,2565,358,สกลนคร,5502
48,2565,357,พัทลุง,5054
49,2565,349,จันทบุรี,10189
50,2565,329,แพร่,6652
51,2565,328,อ่างทอง,7804
52,2565,322,ชัยนาท,8950
53,2565,300,ภูเก็ต,7556
54,2565,298,พังงา,4787
55,2565,291,เลย,4885
56,2565,257,ตราด,4663
57,2565,254,นครพนม,4038
58,2565,247,อุตรดิตถ์,5581
59,2565,244,มหาสารคาม,6957
60,2565,232,สมุทรสงคราม,10094
61,2565,227,ระนอง,6646
62,2565,220,พะเยา,3420
63,2565,219,หนองคาย,4534
64,2565,216,ยโสธร,4000
65,2565,196,น่าน,1928
66,2565,193,สตูล,4501
67,2565,181,สิงห์บุรี,13260
68,2565,175,ปัตตานี,6410
69,2565,173,นราธิวาส,3727
70,2565,173,ยะลา,6321
71,2565,172,บึงกาฬ,3933
72,2565,169,นครนายก,7730
73,2565,163,อำนาจเจริญ,1950
74,2565,155,อุทัยธานี,3207
75,2565,135,มุกดาหาร,2098
76,2565,123,หนองบัวลำภู,5031
77,2565,67,แม่ฮ่องสอน,1018
78,2566,5979,กรุงเทพมหานคร,369423
79,2566,351,กระบี่,8871
80,2566,1003,กาญจนบุรี,42123
81,2566,406,กาฬสินธุ์,7797
82,2566,643,กำแพงเพชร,9729
83,2566,914,ขอนแก่น,59226
84,2566,346,จันทบุรี,9971
85,2566,2050,ฉะเชิงเทรา,145582
86,2566,5106,ชลบุรี,314799
87,2566,317,ชัยนาท,8670
88,2566,408,ชัยภูมิ,12230
89,2566,512,ชุมพร,15063
90,2566,650,เชียงราย,12410
91,2566,1068,เชียงใหม่,35258
92,2566,449,ตรัง,24834
93,2566,230,ตราด,4436
94,2566,478,ตาก,36319
95,2566,165,นครนายก,7647
96,2566,3340,นครปฐม,176683
97,2566,247,นครพนม,3951
98,2566,1894,นครราชสีมา,118696
99,2566,881,นครศรีธรรมราช,18655
100,2566,810,นครสวรรค์,19266
101,2566,1594,นนทบุรี,76521
102,2566,174,นราธิวาส,3734
103,2566,195,น่าน,1930
104,2566,161,บึงกาฬ,3794
105,2566,422,บุรีรัมย์,11518
106,2566,3460,ปทุมธานี,243944
107,2566,449,ประจวบคีรีขันธ์,16274
108,2566,974,ปราจีนบุรี,106272
109,2566,166,ปัตตานี,6371
110,2566,1933,พระนครศรีอยุธยา,220648
111,2566,222,พะเยา,3298
112,2566,272,พังงา,4628
113,2566,375,พัทลุง,5147
114,2566,351,พิจิตร,7135
115,2566,448,พิษณุโลก,12750
116,2566,535,เพชรบุรี,25229
117,2566,566,เพชรบูรณ์,17298
118,2566,322,แพร่,6788
119,2566,283,ภูเก็ต,6981
120,2566,241,มหาสารคาม,7014
121,2566,138,มุกดาหาร,2462
122,2566,59,แม่ฮ่องสอน,732
123,2566,213,ยโสธร,4060
124,2566,176,ยะลา,6385
125,2566,431,ร้อยเอ็ด,8307
126,2566,229,ระนอง,6816
127,2566,3132,ระยอง,203215
128,2566,1364,ราชบุรี,72666
129,2566,667,ลพบุรี,58402
130,2566,547,ลำปาง,23037
131,2566,452,ลำพูน,30016
132,2566,281,เลย,4715
133,2566,382,ศรีสะเกษ,5104
134,2566,353,สกลนคร,5514
135,2566,1226,สงขลา,74752
136,2566,191,สตูล,4538
137,2566,7004,สมุทรปราการ,477521
138,2566,227,สมุทรสงคราม,9878
139,2566,6628,สมุทรสาคร,390096
140,2566,475,สระแก้ว,10566
141,2566,1552,สระบุรี,100311
142,2566,188,สิงห์บุรี,13314
143,2566,375,สุโขทัย,6033
144,2566,728,สุพรรณบุรี,19752
145,2566,1123,สุราษฎร์ธานี,41396
146,2566,373,สุรินทร์,15555
147,2566,229,หนองคาย,5122
148,2566,122,หนองบัวลำภู,5144
149,2566,324,อ่างทอง,7806
150,2566,166,อำนาจเจริญ,1968
151,2566,781,อุดรธานี,18679
152,2566,250,อุตรดิตถ์,5873
153,2566,150,อุทัยธานี,3200
154,2566,773,อุบลราชธานี,19167
155,2567,343,กระบี่,8890
156,2567,5945,กรุงเทพมหานคร,370728
157,2567,1017,กาญจนบุรี,42254
158,2567,412,กาฬสินธุ์,8061
159,2567,654,กำแพงเพชร,10042
160,2567,938,ขอนแก่น,59727
161,2567,351,จันทบุรี,10218
162,2567,2095,ฉะเชิงเทรา,154376
163,2567,5220,ชลบุรี,322215
164,2567,315,ชัยนาท,8703
165,2567,406,ชัยภูมิ,12258
166,2567,518,ชุมพร,15274
167,2567,656,เชียงราย,12333
168,2567,1087,เชียงใหม่,36108
169,2567,440,ตรัง,24204
170,2567,220,ตราด,4415
171,2567,481,ตาก,36749
172,2567,168,นครนายก,8230
173,2567,3373,นครปฐม,178513
174,2567,243,นครพนม,3981
175,2567,1920,นครราชสีมา,121073
176,2567,888,นครศรีธรรมราช,19728
177,2567,812,นครสวรรค์,19448
178,2567,1610,นนทบุรี,77564
179,2567,177,นราธิวาส,3742
180,2567,199,น่าน,1962
181,2567,164,บึงกาฬ,4154
182,2567,423,บุรีรัมย์,11382
183,2567,3544,ปทุมธานี,244777
184,2567,452,ประจวบคีรีขันธ์,16419
185,2567,1018,ปราจีนบุรี,110875
186,2567,171,ปัตตานี,6394
187,2567,1970,พระนครศรีอยุธยา,226032
188,2567,224,พะเยา,3313
189,2567,274,พังงา,4644
190,2567,376,พัทลุง,5157
191,2567,354,พิจิตร,7158
192,2567,452,พิษณุโลก,14222
193,2567,555,เพชรบุรี,25857
194,2567,563,เพชรบูรณ์,17775
195,2567,324,แพร่,7057
196,2567,282,ภูเก็ต,7076
197,2567,248,มหาสารคาม,7141
198,2567,136,มุกดาหาร,2398
199,2567,59,แม่ฮ่องสอน,728
200,2567,209,ยโสธร,4068
201,2567,179,ยะลา,6435
202,2567,435,ร้อยเอ็ด,8226
203,2567,241,ระนอง,6862
204,2567,3268,ระยอง,216831
205,2567,1383,ราชบุรี,73758
206,2567,670,ลพบุรี,58870
207,2567,538,ลำปาง,22447
208,2567,460,ลำพูน,35412
209,2567,283,เลย,4719
210,2567,384,ศรีสะเกษ,5595
211,2567,360,สกลนคร,5547
212,2567,1227,สงขลา,75693
213,2567,186,สตูล,4372
214,2567,7159,สมุทรปราการ,489896
215,2567,228,สมุทรสงคราม,9885
216,2567,6732,สมุทรสาคร,406499
217,2567,451,สระแก้ว,10268
218,2567,1585,สระบุรี,102097
219,2567,199,สิงห์บุรี,13295
220,2567,373,สุโขทัย,6046
221,2567,728,สุพรรณบุรี,19947
222,2567,1135,สุราษฎร์ธานี,42062
223,2567,394,สุรินทร์,15862
224,2567,233,หนองคาย,5267
225,2567,123,หนองบัวลำภู,5187
226,2567,323,อ่างทอง,7842
227,2567,169,อำนาจเจริญ,2041
228,2567,791,อุดรธานี,19026
229,2567,245,อุตรดิตถ์,5819
230,2567,146,อุทัยธานี,3182
231,2567,796,อุบลราชธานี,19238
