_id,ปี,แห่ง,อำเภอ
1,2562,3,เมืองนครสวรรค์
2,2562,0,เก้าเลี้ยว
3,2562,0,โกรกพระ
4,2562,0,แม่เปิน
5,2562,0,แม่วงก์
6,2562,0,ไพศาลี
7,2562,0,ชุมแสง
8,2562,0,ชุมตาบง
9,2562,0,ตากฟ้า
10,2562,1,ตาคลี
11,2562,0,ท่าตะโก
12,2562,1,บรรพตพิสัย
13,2562,0,พยุหะคีรี
14,2562,0,ลาดยาว
15,2562,0,หนองบัว
16,2563,3,เมืองนครสวรรค์
17,2563,0,เก้าเลี้ยว
18,2563,0,โกรกพระ
19,2563,0,แม่เปิน
20,2563,0,แม่วงก์
21,2563,0,ไพศาลี
22,2563,1,ชุมแสง
23,2563,0,ชุมตาบง
24,2563,0,ตากฟ้า
25,2563,1,ตาคลี
26,2563,0,ท่าตะโก
27,2563,1,บรรพตพิสัย
28,2563,0,พยุหะคีรี
29,2563,0,ลาดยาว
30,2563,0,หนองบัว
31,2564,3,เมืองนครสวรรค์
32,2564,0,เก้าเลี้ยว
33,2564,0,โกรกพระ
34,2564,0,แม่เปิน
35,2564,0,แม่วงก์
36,2564,0,ไพศาลี
37,2564,1,ชุมแสง
38,2564,0,ชุมตาบง
39,2564,0,ตากฟ้า
40,2564,1,ตาคลี
41,2564,0,ท่าตะโก
42,2564,1,บรรพตพิสัย
43,2564,0,พยุหะคีรี
44,2564,0,ลาดยาว
45,2564,0,หนองบัว
46,2565,3,เมืองนครสวรรค์
47,2565,0,เก้าเลี้ยว
48,2565,0,โกรกพระ
49,2565,0,แม่เปิน
50,2565,0,แม่วงก์
51,2565,0,ไพศาลี
52,2565,1,ชุมแสง
53,2565,0,ชุมตาบง
54,2565,0,ตากฟ้า
55,2565,1,ตาคลี
56,2565,0,ท่าตะโก
57,2565,1,บรรพตพิสัย
58,2565,0,พยุหะคีรี
59,2565,0,ลาดยาว
60,2565,0,หนองบัว
61,2566,3,เมืองนครสวรรค์
62,2566,0,เก้าเลี้ยว
63,2566,0,โกรกพระ
64,2566,0,แม่เปิน
65,2566,0,แม่วงก์
66,2566,0,ไพศาลี
67,2566,1,ชุมแสง
68,2566,0,ชุมตาบง
69,2566,0,ตากฟ้า
70,2566,1,ตาคลี
71,2566,0,ท่าตะโก
72,2566,1,บรรพตพิสัย
73,2566,0,พยุหะคีรี
74,2566,0,ลาดยาว
75,2566,0,หนองบัว
