เดือน,จำนวนผู้ประกันตน,_id,ปี,ผู้ประกันตน,หน่วย
ม.ค.,"254,907",1,2563,มาตรา 33,คน
ม.ค.,"32,329",2,2563,มาตรา 39,คน
ม.ค.,256,3,2563,มาตรา 40 ทางเลือก 1,คน
ม.ค.,"37,488",4,2563,มาตรา 40 ทางเลือก 2,คน
ม.ค.,"5,144",5,2563,มาตรา 40 ทางเลือก 3,คน
ก.พ.,"255,408",6,2563,มาตรา 33,คน
ก.พ.,"32,379",7,2563,มาตรา 39,คน
ก.พ.,261,8,2563,มาตรา 40 ทางเลือก 1,คน
ก.พ.,"37,689",9,2563,มาตรา 40 ทางเลือก 2,คน
ก.พ.,"5,420",10,2563,มาตรา 40 ทางเลือก 3,คน
มี.ค.,"255,452",11,2563,มาตรา 33,คน
มี.ค.,"32,650",12,2563,มาตรา 39,คน
มี.ค.,271,13,2563,มาตรา 40 ทางเลือก 1,คน
มี.ค.,"37,901",14,2563,มาตรา 40 ทางเลือก 2,คน
มี.ค.,"5,668",15,2563,มาตรา 40 ทางเลือก 3,คน
เม.ย.,"251,356",16,2563,มาตรา 33,คน
เม.ย.,"33,039",17,2563,มาตรา 39,คน
เม.ย.,277,18,2563,มาตรา 40 ทางเลือก 1,คน
เม.ย.,"37,911",19,2563,มาตรา 40 ทางเลือก 2,คน
เม.ย.,"5,755",20,2563,มาตรา 40 ทางเลือก 3,คน
พ.ค.,"249,344",21,2563,มาตรา 33,คน
พ.ค.,"33,464",22,2563,มาตรา 39,คน
พ.ค.,284,23,2563,มาตรา 40 ทางเลือก 1,คน
พ.ค.,"37,928",24,2563,มาตรา 40 ทางเลือก 2,คน
พ.ค.,"5,809",25,2563,มาตรา 40 ทางเลือก 3,คน
มิ.ย.,"247,492",26,2563,มาตรา 33,คน
มิ.ย.,"33,929",27,2563,มาตรา 39,คน
มิ.ย.,285,28,2563,มาตรา 40 ทางเลือก 1,คน
มิ.ย.,"37,977",29,2563,มาตรา 40 ทางเลือก 2,คน
มิ.ย.,"5,893",30,2563,มาตรา 40 ทางเลือก 3,คน
ก.ค.,"245,538",31,2563,มาตรา 33,คน
ก.ค.,"34,099",32,2563,มาตรา 39,คน
ก.ค.,289,33,2563,มาตรา 40 ทางเลือก 1,คน
ก.ค.,"38,139",34,2563,มาตรา 40 ทางเลือก 2,คน
ก.ค.,"6,045",35,2563,มาตรา 40 ทางเลือก 3,คน
ส.ค.,"244,539",36,2563,มาตรา 33,คน
ส.ค.,"34,382",37,2563,มาตรา 39,คน
ส.ค.,291,38,2563,มาตรา 40 ทางเลือก 1,คน
ส.ค.,"38,313",39,2563,มาตรา 40 ทางเลือก 2,คน
ส.ค.,"6,225",40,2563,มาตรา 40 ทางเลือก 3,คน
ก.ย.,"244,277",41,2563,มาตรา 33,คน
ก.ย.,"34,084",42,2563,มาตรา 39,คน
ก.ย.,293,43,2563,มาตรา 40 ทางเลือก 1,คน
ก.ย.,"38,489",44,2563,มาตรา 40 ทางเลือก 2,คน
ก.ย.,"6,368",45,2563,มาตรา 40 ทางเลือก 3,คน
ต.ค.,"244,176",46,2563,มาตรา 33,คน
ต.ค.,"34,328",47,2563,มาตรา 39,คน
ต.ค.,293,48,2563,มาตรา 40 ทางเลือก 1,คน
ต.ค.,"38,515",49,2563,มาตรา 40 ทางเลือก 2,คน
ต.ค.,"6,470",50,2563,มาตรา 40 ทางเลือก 3,คน
พ.ย.,"243,940",51,2563,มาตรา 33,คน
พ.ย.,"34,647",52,2563,มาตรา 39,คน
พ.ย.,299,53,2563,มาตรา 40 ทางเลือก 1,คน
พ.ย.,"38,546",54,2563,มาตรา 40 ทางเลือก 2,คน
พ.ย.,"6,568",55,2563,มาตรา 40 ทางเลือก 3,คน
ธ.ค.,"245,056",56,2563,มาตรา 33,คน
ธ.ค.,"35,024",57,2563,มาตรา 39,คน
ธ.ค.,304,58,2563,มาตรา 40 ทางเลือก 1,คน
ธ.ค.,"38,653",59,2563,มาตรา 40 ทางเลือก 2,คน
ธ.ค.,"6,724",60,2563,มาตรา 40 ทางเลือก 3,คน
ม.ค.,"244,797",61,2564,มาตรา 33,คน
ม.ค.,"35,617",62,2564,มาตรา 39,คน
ม.ค.,308,63,2564,มาตรา 40 ทางเลือก 1,คน
ม.ค.,"38,672",64,2564,มาตรา 40 ทางเลือก 2,คน
ม.ค.,"6,824",65,2564,มาตรา 40 ทางเลือก 3,คน
ก.พ.,"245,069",66,2564,มาตรา 33,คน
ก.พ.,"35,870",67,2564,มาตรา 39,คน
ก.พ.,312,68,2564,มาตรา 40 ทางเลือก 1,คน
ก.พ.,"38,692",69,2564,มาตรา 40 ทางเลือก 2,คน
ก.พ.,"6,931",70,2564,มาตรา 40 ทางเลือก 3,คน
มี.ค.,"243,956",71,2564,มาตรา 33,คน
มี.ค.,"36,024",72,2564,มาตรา 39,คน
มี.ค.,317,73,2564,มาตรา 40 ทางเลือก 1,คน
มี.ค.,"38,898",74,2564,มาตรา 40 ทางเลือก 2,คน
มี.ค.,"7,099",75,2564,มาตรา 40 ทางเลือก 3,คน
เม.ย.,"242,821",76,2564,มาตรา 33,คน
เม.ย.,"36,444",77,2564,มาตรา 39,คน
เม.ย.,319,78,2564,มาตรา 40 ทางเลือก 1,คน
เม.ย.,"38,973",79,2564,มาตรา 40 ทางเลือก 2,คน
เม.ย.,"7,225",80,2564,มาตรา 40 ทางเลือก 3,คน
พ.ค.,"242,703",81,2564,มาตรา 33,คน
พ.ค.,"36,811",82,2564,มาตรา 39,คน
พ.ค.,322,83,2564,มาตรา 40 ทางเลือก 1,คน
พ.ค.,"39,047",84,2564,มาตรา 40 ทางเลือก 2,คน
พ.ค.,"7,300",85,2564,มาตรา 40 ทางเลือก 3,คน
มิ.ย.,"242,726",86,2564,มาตรา 33,คน
มิ.ย.,"36,717",87,2564,มาตรา 39,คน
มิ.ย.,324,88,2564,มาตรา 40 ทางเลือก 1,คน
มิ.ย.,"39,161",89,2564,มาตรา 40 ทางเลือก 2,คน
มิ.ย.,"7,406",90,2564,มาตรา 40 ทางเลือก 3,คน
ก.ค.,"243,290",91,2564,มาตรา 33,คน
ก.ค.,"37,637",92,2564,มาตรา 39,คน
ก.ค.,"32,994",93,2564,มาตรา 40 ทางเลือก 1,คน
ก.ค.,"132,723",94,2564,มาตรา 40 ทางเลือก 2,คน
ก.ค.,"16,168",95,2564,มาตรา 40 ทางเลือก 3,คน
ส.ค.,"240,542",96,2564,มาตรา 33,คน
ส.ค.,"38,168",97,2564,มาตรา 39,คน
ส.ค.,"50,343",98,2564,มาตรา 40 ทางเลือก 1,คน
ส.ค.,"168,498",99,2564,มาตรา 40 ทางเลือก 2,คน
ส.ค.,"20,563",100,2564,มาตรา 40 ทางเลือก 3,คน
ก.ย.,"238,159",101,2564,มาตรา 33,คน
ก.ย.,"38,364",102,2564,มาตรา 39,คน
ก.ย.,"55,483",103,2564,มาตรา 40 ทางเลือก 1,คน
ก.ย.,"176,835",104,2564,มาตรา 40 ทางเลือก 2,คน
ก.ย.,"21,549",105,2564,มาตรา 40 ทางเลือก 3,คน
ต.ค.,"236,736",106,2564,มาตรา 33,คน
ต.ค.,"38,255",107,2564,มาตรา 39,คน
ต.ค.,"55,746",108,2564,มาตรา 40 ทางเลือก 1,คน
ต.ค.,"177,405",109,2564,มาตรา 40 ทางเลือก 2,คน
ต.ค.,"21,704",110,2564,มาตรา 40 ทางเลือก 3,คน
พ.ย.,"236,371",111,2564,มาตรา 33,คน
พ.ย.,"38,142",112,2564,มาตรา 39,คน
พ.ย.,"55,814",113,2564,มาตรา 40 ทางเลือก 1,คน
พ.ย.,"177,618",114,2564,มาตรา 40 ทางเลือก 2,คน
พ.ย.,"21,806",115,2564,มาตรา 40 ทางเลือก 3,คน
ธ.ค.,"235,993",116,2564,มาตรา 33,คน
ธ.ค.,"38,021",117,2564,มาตรา 39,คน
ธ.ค.,"56,278",118,2564,มาตรา 40 ทางเลือก 1,คน
ธ.ค.,"178,378",119,2564,มาตรา 40 ทางเลือก 2,คน
ธ.ค.,"22,010",120,2564,มาตรา 40 ทางเลือก 3,คน
ม.ค.,"235,996",121,2565,มาตรา 33,คน
ม.ค.,"37,953",122,2565,มาตรา 39,คน
ม.ค.,"56,573",123,2565,มาตรา 40 ทางเลือก 1,คน
ม.ค.,"178,746",124,2565,มาตรา 40 ทางเลือก 2,คน
ม.ค.,"22,115",125,2565,มาตรา 40 ทางเลือก 3,คน
ก.พ.,"236,395",126,2565,มาตรา 33,คน
ก.พ.,"37,934",127,2565,มาตรา 39,คน
ก.พ.,"56,567",128,2565,มาตรา 40 ทางเลือก 1,คน
ก.พ.,"178,770",129,2565,มาตรา 40 ทางเลือก 2,คน
ก.พ.,"22,194",130,2565,มาตรา 40 ทางเลือก 3,คน
มี.ค.,"238,539",131,2565,มาตรา 33,คน
มี.ค.,"37,857",132,2565,มาตรา 39,คน
มี.ค.,"56,590",133,2565,มาตรา 40 ทางเลือก 1,คน
มี.ค.,"178,830",134,2565,มาตรา 40 ทางเลือก 2,คน
มี.ค.,"22,257",135,2565,มาตรา 40 ทางเลือก 3,คน
เม.ย.,"239,806",136,2565,มาตรา 33,คน
เม.ย.,"37,618",137,2565,มาตรา 39,คน
เม.ย.,"56,586",138,2565,มาตรา 40 ทางเลือก 1,คน
เม.ย.,"178,871",139,2565,มาตรา 40 ทางเลือก 2,คน
เม.ย.,"22,348",140,2565,มาตรา 40 ทางเลือก 3,คน
พ.ค.,"240,508",141,2565,มาตรา 33,คน
พ.ค.,"37,716",142,2565,มาตรา 39,คน
พ.ค.,"56,558",143,2565,มาตรา 40 ทางเลือก 1,คน
พ.ค.,"178,913",144,2565,มาตรา 40 ทางเลือก 2,คน
พ.ค.,"22,425",145,2565,มาตรา 40 ทางเลือก 3,คน
มิ.ย.,"241,853",146,2565,มาตรา 33,คน
มิ.ย.,"37,670",147,2565,มาตรา 39,คน
มิ.ย.,"56,526",148,2565,มาตรา 40 ทางเลือก 1,คน
มิ.ย.,"178,919",149,2565,มาตรา 40 ทางเลือก 2,คน
มิ.ย.,"22,465",150,2565,มาตรา 40 ทางเลือก 3,คน
ก.ค.,"243,338",151,2565,มาตรา 33,คน
ก.ค.,"37,706",152,2565,มาตรา 39,คน
ก.ค.,"56,504",153,2565,มาตรา 40 ทางเลือก 1,คน
ก.ค.,"178,991",154,2565,มาตรา 40 ทางเลือก 2,คน
ก.ค.,"22,552",155,2565,มาตรา 40 ทางเลือก 3,คน
ส.ค.,"243,733",156,2565,มาตรา 33,คน
ส.ค.,"37,775",157,2565,มาตรา 39,คน
ส.ค.,"56,491",158,2565,มาตรา 40 ทางเลือก 1,คน
ส.ค.,"179,078",159,2565,มาตรา 40 ทางเลือก 2,คน
ส.ค.,"22,616",160,2565,มาตรา 40 ทางเลือก 3,คน
ก.ย.,"246,662",161,2565,มาตรา 33,คน
ก.ย.,"37,795",162,2565,มาตรา 39,คน
ก.ย.,"56,457",163,2565,มาตรา 40 ทางเลือก 1,คน
ก.ย.,"179,075",164,2565,มาตรา 40 ทางเลือก 2,คน
ก.ย.,"22,729",165,2565,มาตรา 40 ทางเลือก 3,คน
ต.ค.,"249,297",166,2565,มาตรา 33,คน
ต.ค.,"37,724",167,2565,มาตรา 39,คน
ต.ค.,"56,434",168,2565,มาตรา 40 ทางเลือก 1,คน
ต.ค.,"179,078",169,2565,มาตรา 40 ทางเลือก 2,คน
ต.ค.,"22,806",170,2565,มาตรา 40 ทางเลือก 3,คน
พ.ย.,"252,476",171,2565,มาตรา 33,คน
พ.ย.,"37,619",172,2565,มาตรา 39,คน
พ.ย.,"56,409",173,2565,มาตรา 40 ทางเลือก 1,คน
พ.ย.,"179,088",174,2565,มาตรา 40 ทางเลือก 2,คน
พ.ย.,"22,871",175,2565,มาตรา 40 ทางเลือก 3,คน
ธ.ค.,"254,861",176,2565,มาตรา 33,คน
ธ.ค.,"37,448",177,2565,มาตรา 39,คน
ธ.ค.,"56,387",178,2565,มาตรา 40 ทางเลือก 1,คน
ธ.ค.,"179,087",179,2565,มาตรา 40 ทางเลือก 2,คน
ธ.ค.,"22,945",180,2565,มาตรา 40 ทางเลือก 3,คน
ม.ค.,"255,127",181,2566,มาตรา 33,คน
ม.ค.,"37,368",182,2566,มาตรา 39,คน
ม.ค.,"56,369",183,2566,มาตรา 40 ทางเลือก 1,คน
ม.ค.,"179,086",184,2566,มาตรา 40 ทางเลือก 2,คน
ม.ค.,"23,009",185,2566,มาตรา 40 ทางเลือก 3,คน
ก.พ.,"255,515",186,2566,มาตรา 33,คน
ก.พ.,"37,274",187,2566,มาตรา 39,คน
ก.พ.,"56,354",188,2566,มาตรา 40 ทางเลือก 1,คน
ก.พ.,"179,082",189,2566,มาตรา 40 ทางเลือก 2,คน
ก.พ.,"23,073",190,2566,มาตรา 40 ทางเลือก 3,คน
มี.ค.,"255,859",191,2566,มาตรา 33,คน
มี.ค.,"37,109",192,2566,มาตรา 39,คน
มี.ค.,"56,337",193,2566,มาตรา 40 ทางเลือก 1,คน
มี.ค.,"179,084",194,2566,มาตรา 40 ทางเลือก 2,คน
มี.ค.,"23,150",195,2566,มาตรา 40 ทางเลือก 3,คน
เม.ย.,"255,042",196,2566,มาตรา 33,คน
เม.ย.,"36,858",197,2566,มาตรา 39,คน
เม.ย.,"56,313",198,2566,มาตรา 40 ทางเลือก 1,คน
เม.ย.,"179,079",199,2566,มาตรา 40 ทางเลือก 2,คน
เม.ย.,"23,209",200,2566,มาตรา 40 ทางเลือก 3,คน
พ.ค.,"254,632",201,2566,มาตรา 33,คน
พ.ค.,"36,794",202,2566,มาตรา 39,คน
พ.ค.,"56,293",203,2566,มาตรา 40 ทางเลือก 1,คน
พ.ค.,"179,044",204,2566,มาตรา 40 ทางเลือก 2,คน
พ.ค.,"23,278",205,2566,มาตรา 40 ทางเลือก 3,คน
มิ.ย.,"255,778",206,2566,มาตรา 33,คน
มิ.ย.,"36,633",207,2566,มาตรา 39,คน
มิ.ย.,"56,279",208,2566,มาตรา 40 ทางเลือก 1,คน
มิ.ย.,"179,016",209,2566,มาตรา 40 ทางเลือก 2,คน
มิ.ย.,"23,367",210,2566,มาตรา 40 ทางเลือก 3,คน
ก.ค.,"256,604",211,2566,มาตรา 33,คน
ก.ค.,"36,414",212,2566,มาตรา 39,คน
ก.ค.,"56,248",213,2566,มาตรา 40 ทางเลือก 1,คน
ก.ค.,"179,007",214,2566,มาตรา 40 ทางเลือก 2,คน
ก.ค.,"23,438",215,2566,มาตรา 40 ทางเลือก 3,คน
ส.ค.,"257,422",216,2566,มาตรา 33,คน
ส.ค.,"36,224",217,2566,มาตรา 39,คน
ส.ค.,"56,238",218,2566,มาตรา 40 ทางเลือก 1,คน
ส.ค.,"178,993",219,2566,มาตรา 40 ทางเลือก 2,คน
ส.ค.,"23,517",220,2566,มาตรา 40 ทางเลือก 3,คน
ก.ย.,"259,058",221,2566,มาตรา 33,คน
ก.ย.,"35,995",222,2566,มาตรา 39,คน
ก.ย.,"56,215",223,2566,มาตรา 40 ทางเลือก 1,คน
ก.ย.,"178,963",224,2566,มาตรา 40 ทางเลือก 2,คน
ก.ย.,"23,585",225,2566,มาตรา 40 ทางเลือก 3,คน
ต.ค.,"261,442",226,2566,มาตรา 33,คน
ต.ค.,"35,862",227,2566,มาตรา 39,คน
ต.ค.,"56,214",228,2566,มาตรา 40 ทางเลือก 1,คน
ต.ค.,"178,941",229,2566,มาตรา 40 ทางเลือก 2,คน
ต.ค.,"23,629",230,2566,มาตรา 40 ทางเลือก 3,คน
พ.ย.,"261,559",231,2566,มาตรา 33,คน
พ.ย.,"35,599",232,2566,มาตรา 39,คน
พ.ย.,"56,206",233,2566,มาตรา 40 ทางเลือก 1,คน
พ.ย.,"178,927",234,2566,มาตรา 40 ทางเลือก 2,คน
พ.ย.,"23,669",235,2566,มาตรา 40 ทางเลือก 3,คน
ธ.ค.,"261,360",236,2566,มาตรา 33,คน
ธ.ค.,"35,365",237,2566,มาตรา 39,คน
ธ.ค.,"56,195",238,2566,มาตรา 40 ทางเลือก 1,คน
ธ.ค.,"178,941",239,2566,มาตรา 40 ทางเลือก 2,คน
ธ.ค.,"23,698",240,2566,มาตรา 40 ทางเลือก 3,คน
ม.ค.,"260,010",241,2567,มาตรา 33,คน
ม.ค.,"35,156",242,2567,มาตรา 39,คน
ม.ค.,"56,183",243,2567,มาตรา 40 ทางเลือก 1,คน
ม.ค.,"178,924",244,2567,มาตรา 40 ทางเลือก 2,คน
ม.ค.,"23,761",245,2567,มาตรา 40 ทางเลือก 3,คน
ก.พ.,"259,697",246,2567,มาตรา 33,คน
ก.พ.,"34,920",247,2567,มาตรา 39,คน
ก.พ.,"56,167",248,2567,มาตรา 40 ทางเลือก 1,คน
ก.พ.,"178,905",249,2567,มาตรา 40 ทางเลือก 2,คน
ก.พ.,"23,804",250,2567,มาตรา 40 ทางเลือก 3,คน
มี.ค.,"260,085",251,2567,มาตรา 33,คน
มี.ค.,"34,727",252,2567,มาตรา 39,คน
มี.ค.,"56,155",253,2567,มาตรา 40 ทางเลือก 1,คน
มี.ค.,"178,873",254,2567,มาตรา 40 ทางเลือก 2,คน
มี.ค.,"23,842",255,2567,มาตรา 40 ทางเลือก 3,คน
เม.ย.,"259,534",256,2567,มาตรา 33,คน
เม.ย.,"34,472",257,2567,มาตรา 39,คน
เม.ย.,"56,139",258,2567,มาตรา 40 ทางเลือก 1,คน
เม.ย.,"178,814",259,2567,มาตรา 40 ทางเลือก 2,คน
เม.ย.,"23,895",260,2567,มาตรา 40 ทางเลือก 3,คน
พ.ค.,"260,925",261,2567,มาตรา 33,คน
พ.ค.,"34,274",262,2567,มาตรา 39,คน
พ.ค.,"56,130",263,2567,มาตรา 40 ทางเลือก 1,คน
พ.ค.,"178,768",264,2567,มาตรา 40 ทางเลือก 2,คน
พ.ค.,"23,944",265,2567,มาตรา 40 ทางเลือก 3,คน
มิ.ย.,"262,117",266,2567,มาตรา 33,คน
มิ.ย.,"34,074",267,2567,มาตรา 39,คน
มิ.ย.,"56,120",268,2567,มาตรา 40 ทางเลือก 1,คน
มิ.ย.,"178,752",269,2567,มาตรา 40 ทางเลือก 2,คน
มิ.ย.,"23,982",270,2567,มาตรา 40 ทางเลือก 3,คน
ก.ค.,"262,375",271,2567,มาตรา 33,คน
ก.ค.,"33,891",272,2567,มาตรา 39,คน
ก.ค.,"56,112",273,2567,มาตรา 40 ทางเลือก 1,คน
ก.ค.,"178,720",274,2567,มาตรา 40 ทางเลือก 2,คน
ก.ค.,"24,042",275,2567,มาตรา 40 ทางเลือก 3,คน
ส.ค.,"263,314",276,2567,มาตรา 33,คน
ส.ค.,"33,614",277,2567,มาตรา 39,คน
ส.ค.,"56,093",278,2567,มาตรา 40 ทางเลือก 1,คน
ส.ค.,"178,680",279,2567,มาตรา 40 ทางเลือก 2,คน
ส.ค.,"24,108",280,2567,มาตรา 40 ทางเลือก 3,คน
ก.ย.,"263,796",281,2567,มาตรา 33,คน
ก.ย.,"33,465",282,2567,มาตรา 39,คน
ก.ย.,"56,074",283,2567,มาตรา 40 ทางเลือก 1,คน
ก.ย.,"178,630",284,2567,มาตรา 40 ทางเลือก 2,คน
ก.ย.,"24,183",285,2567,มาตรา 40 ทางเลือก 3,คน
ต.ค.,"263,274",286,2567,มาตรา 33,คน
ต.ค.,"33,647",287,2567,มาตรา 39,คน
ต.ค.,"56,053",288,2567,มาตรา 40 ทางเลือก 1,คน
ต.ค.,"178,599",289,2567,มาตรา 40 ทางเลือก 2,คน
ต.ค.,"24,256",290,2567,มาตรา 40 ทางเลือก 3,คน
พ.ย.,"263,743",291,2567,มาตรา 33,คน
พ.ย.,"33,718",292,2567,มาตรา 39,คน
พ.ย.,"56,036",293,2567,มาตรา 40 ทางเลือก 1,คน
พ.ย.,"178,589",294,2567,มาตรา 40 ทางเลือก 2,คน
พ.ย.,"24,311",295,2567,มาตรา 40 ทางเลือก 3,คน
ธ.ค.,"263,442",296,2567,มาตรา 33,คน
ธ.ค.,"33,783",297,2567,มาตรา 39,คน
ธ.ค.,"56,023",298,2567,มาตรา 40 ทางเลือก 1,คน
ธ.ค.,"178,519",299,2567,มาตรา 40 ทางเลือก 2,คน
ธ.ค.,"24,362",300,2567,มาตรา 40 ทางเลือก 3,คน
