2565.0,2568.0,2567.0,2560.0,_id,2557.0,2566.0,2559.0,2561.0,2563.0,2558.0,ตำบล,อำเภอ,รายการ,หน่วยวัด,จังหวัด,2564.0,2562.0
,,,,1,,,,,,,ต.ในเมือง,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
2,2,2,2,2,1,2,1,2,2,1,ต.โพธิ์กลาง,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,2,2
1,1,1,1,3,1,1,1,1,1,1,ต.หนองจะบก,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,4,,,,,,,ต.โคกสูง,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,5,,,,,,,ต.มะเริง,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,2,1,,6,,1,,,,,ต.หนองระเวียง,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,7,,,,,,,ต.ปรุใหญ่,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,8,,,,,,,ต.หมื่นไวย,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,9,,,,,,,ต.พลกรัง,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,10,,,,,,,ต.หนองไผ่ล้อม,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,11,,,,,,,ต.หัวทะเล,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,12,,,,,,,ต.บ้านเกาะ,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,13,,,,,,,ต.บ้านใหม่,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,1,14,1,1,1,1,1,1,ต.พุดซา,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
1,1,1,1,15,1,1,1,1,1,1,ต.บ้านโพธิ์,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,16,,,,,,,ต.จอหอ,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,1,1,,17,,1,,,,,ต.โคกกรวด,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,
,,,,18,,,,,,,ต.ไชยมงคล,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
5,5,5,3,19,2,5,3,3,4,2,ต.หนองบัวศาลา,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,5,3
3,3,3,1,20,1,3,1,1,1,1,ต.สุรนารี,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,21,,,,,,,ต.สีมุม,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,22,,,,,,,ต.ตลาด,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,23,,,,,,,ต.พะเนา,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,24,,,,,,,ต.หนองกระทุ่ม,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,25,,,,,,,ต.หนองไข่น้ำ,อ.เมืองนครราชสีมา,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,26,,,,,,,ต.แชะ,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,27,,,,,,,ต.เฉลียง,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,28,,,,,,,ต.ครบุรี,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,29,,,,,,,ต.โคกกระชาย,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
3,3,3,2,30,2,3,2,2,3,2,ต.จระเข้หิน,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,3,3
,,,,31,,,,,,,ต.มาบตะโกเอน,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
1,2,2,1,32,,1,,1,1,,ต.อรพิมพ์,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,1,1
,,,,33,,,,,,,ต.บ้านใหม่,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,34,,,,,,,ต.ลำเพียก,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
,,,,35,,,,,,,ต.ครบุรีใต้,อ.ครบุรี,จำนวนโรงไฟฟ้าพลังงานทดแทนหรือพลังงานทางเลือกในภาคอุตสาหกรรมเชิงนิเวศ,แห่ง,จ.นครราชสีมา,,
