จำนวน,ที่มา,_id,ปี,อำเภอ
83,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,1,2561,อำเภอเมืองเพชรบูรณ์
29,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,2,2561,อำเภอชนแดน
64,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,3,2561,อำเภอหล่มสัก
34,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,4,2561,อำเภอหล่มเก่า
44,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,5,2561,อำเภอวิเชียรบุรี
35,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,6,2561,อำเภอศรีเทพ
60,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,7,2561,อำเภอหนองไผ่
59,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,8,2561,อำเภอบึงสามพัน
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,9,2561,อำเภอน้ำหนาว
13,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,10,2561,อำเภอวังโป่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,11,2561,อำเภอเขาค้อ
95,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,12,2562,อำเภอเมืองเพชรบูรณ์
36,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,13,2562,อำเภอชนแดน
65,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,14,2562,อำเภอหล่มสัก
39,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,15,2562,อำเภอหล่มเก่า
45,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,16,2562,อำเภอวิเชียรบุรี
36,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,17,2562,อำเภอศรีเทพ
66,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,18,2562,อำเภอหนองไผ่
59,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,19,2562,อำเภอบึงสามพัน
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,20,2562,อำเภอน้ำหนาว
18,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,21,2562,อำเภอวังโป่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,22,2562,อำเภอเขาค้อ
101,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,23,2563,อำเภอเมืองเพชรบูรณ์
37,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,24,2563,อำเภอชนแดน
71,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,25,2563,อำเภอหล่มสัก
47,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,26,2563,อำเภอหล่มเก่า
49,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,27,2563,อำเภอวิเชียรบุรี
40,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,28,2563,อำเภอศรีเทพ
67,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,29,2563,อำเภอหนองไผ่
60,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,30,2563,อำเภอบึงสามพัน
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,31,2563,อำเภอน้ำหนาว
19,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,32,2563,อำเภอวังโป่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,33,2563,อำเภอเขาค้อ
110,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,34,2564,อำเภอเมืองเพชรบูรณ์
41,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,35,2564,อำเภอชนแดน
85,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,36,2564,อำเภอหล่มสัก
52,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,37,2564,อำเภอหล่มเก่า
54,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,38,2564,อำเภอวิเชียรบุรี
44,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,39,2564,อำเภอศรีเทพ
70,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,40,2564,อำเภอหนองไผ่
68,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,41,2564,อำเภอบึงสามพัน
1,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,42,2564,อำเภอน้ำหนาว
19,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,43,2564,อำเภอวังโป่ง
11,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,44,2564,อำเภอเขาค้อ
115,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,45,2565,อำเภอเมืองเพชรบูรณ์
41,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,46,2565,อำเภอชนแดน
92,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,47,2565,อำเภอหล่มสัก
54,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,48,2565,อำเภอหล่มเก่า
54,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,49,2565,อำเภอวิเชียรบุรี
44,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,50,2565,อำเภอศรีเทพ
71,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,51,2565,อำเภอหนองไผ่
70,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,52,2565,อำเภอบึงสามพัน
1,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,53,2565,อำเภอน้ำหนาว
19,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,54,2565,อำเภอวังโป่ง
