ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,330,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2566,2,340,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2567,3,291,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2568,4,267,ราย
