VALUE,SOURCE,_id,UNIT,YEAR
7.33,สำนักงานสถิติแห่งชาติ,1,ร้อยละ,2563
8.22,สำนักงานสถิติแห่งชาติ,2,ร้อยละ,2564
6.57,สำนักงานสถิติแห่งชาติ,3,ร้อยละ,2565
5.45,สำนักงานสถิติแห่งชาติ,4,ร้อยละ,2566
5.55,สำนักงานสถิติแห่งชาติ,5,ร้อยละ,2567
5.0,สำนักงานสถิติแห่งชาติ,6,ร้อยละ,2568
