province,value3_ผลผลิตเฉลี่ย,_id,year,value1_เพราะปลูก,value2_เก็บเกี่ยว,unit,source
สมุทรสงคราม,"1,245",1,2561,"12,154","10,842",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
สมุทรสงคราม,"1,137",2,2562,"13,395","11,841",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
สมุทรสงคราม,"1,370",3,2563,"12,375","11,831",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
สมุทรสงคราม,"1,666",4,2564,"12,152","11,830",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
สมุทรสงคราม,"1,698",5,2565,"12,157","11,830",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
สมุทรสงคราม,"1,656",6,2566,"12,160","11,828",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
สมุทรสงคราม,"1,539",7,2567,"12,204","11,828",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
สมุทรสงคราม,"1,458",8,2568,"12,204","11,828",ไร่,สำนักงานเกษตรจังหวัดจังหวัดสมุทรสงคราม
