วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
--,1,GI(E) 1-001,บริษัท ยาสกาว่า อิเล็คทริก ( ประเทศไทย ) จำกัด,1,2565-03-10T00:00:00,ชลบุรี
--,2,GI(E) 1-002,บริษัท คาคามุ (ไทยแลนด์) จำกัด,2,2565-03-10T00:00:00,ชลบุรี
--,3,GI(E) 1-003,บริษัท กุนมะ เซโกะ (ไทยแลนด์) จำกัด,3,2565-03-10T00:00:00,ชลบุรี
--,4,GI(E) 1-015,บริษัท ไทย อินสแตนท์ โพรดักส์ จำกัด,4,2565-03-10T00:00:00,ชลบุรี
--,5,GI(E) 1-017,บริษัท ฮันนี่เวลล์ อิเล็คทรอนิค แมธิเรียลส์ (ประเทศไทย) จำกัด,5,2565-03-10T00:00:00,ชลบุรี
--,6,GI(E) 1-058,บริษัท เจ แม็ค อินดัสตรี จำกัด,6,2565-04-10T00:00:00,ชลบุรี
--,7,GI(E) 1-059,บริษัท ซัมมิท เอ็น วี เอช จำกัด,7,2565-04-10T00:00:00,ชลบุรี
--,8,GI(E) 1-060,บริษัท ศรีไทยเดลี่ฟู้ดส์ จำกัด,8,2565-04-10T00:00:00,ชลบุรี
--,9,GI(E) 1-075,บริษัท เวสต์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,9,2565-04-10T00:00:00,ชลบุรี
--,10,GI(E) 1-076,บริษัท เวสต์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,10,2565-04-10T00:00:00,ชลบุรี
--,11,GI(E) 1-077,บริษัท เวสต์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,11,2565-04-10T00:00:00,ชลบุรี
--,12,GI(E) 1-095,บริษัท นิชิกุระ (ประเทศไทย) จำกัด,12,2565-06-10T00:00:00,ชลบุรี
--,13,GI(E) 1-096,บริษัท นิชิกุระ (ประเทศไทย) จำกัด,13,2565-06-10T00:00:00,ชลบุรี
--,14,GI(E) 1-101,บริษัท ไวด์ เวย์ โมลด์ (ไทยแลนด์) จำกัด,14,2565-06-10T00:00:00,ชลบุรี
--,15,GI(E) 1-105,บริษัท มารูเทค (ประเทศไทย) จำกัด,15,2565-07-10T00:00:00,ชลบุรี
--,16,GI(E) 1-159,บริษัท ควอซาร์ เมดิคอล (ประเทศไทย) จำกัด,16,2565-08-10T00:00:00,ชลบุรี
--,17,GI(E) 1-170,บริษัท ไทยซัมมิท เคเบิ้ล แอนด์ พาร์ท จำกัด,17,2565-10-17T00:00:00,ชลบุรี
--,18,GI(E) 1-171,บริษัท ซันพลัคล์ (ประเทศไทย) จำกัด,18,2565-10-17T00:00:00,ชลบุรี
--,19,GI(E) 1-172,บริษัท สเตอร์ริส โทโมเอะ (ประเทศไทย) จำกัด,19,2565-10-17T00:00:00,ชลบุรี
--,20,GI(E) 1-228,บริษัท นิสเซ พลาสติก (ไทยแลนด์) จำกัด,20,2565-10-27T00:00:00,ชลบุรี
--,21,GI(E) 1-231,บริษัท ไทย ยาชิมะ จำกัด,21,2565-10-27T00:00:00,ชลบุรี
--,22,GI(E) 1-232,บริษัท ไทย โตโย อิเลคทริค จำกัด,22,2565-10-27T00:00:00,ชลบุรี
--,23,GI(E) 1-265,บริษัท พี.เอส.เมททอลเวอกส์ จำกัด,23,2565-10-28T00:00:00,ชลบุรี
--,24,GI(E) 1-700,บริษัท เอเธน คอมพิวเตอร์ โปรดักส์ จำกัด,24,2565-11-15T00:00:00,ชลบุรี
--,25,GI(E) 1-712,สหกรณ์กองทุนสวนยางอำเภอบ่อทอง จำกัด,25,2565-11-18T00:00:00,ชลบุรี
--,26,GI(E) 1-713,บริษัท อี แอนด์ เอช พรีซิซั่น (ประเทศไทย) จำกัด,26,2565-11-18T00:00:00,ชลบุรี
--,27,GI(E) 1-723,บริษัท ไฮแกสเค็ท พลาสติกส์ กรุ๊ป(ประเทศไทย) จำกัด,27,2565-11-22T00:00:00,ชลบุรี
--,28,GI(E) 1-724,บริษัท เจอีเอ็มที (ประเทศไทย) จำกัด,28,2565-11-22T00:00:00,ชลบุรี
--,29,GI(E) 1-726,บริษัท ไทย กรีน ฟอร์จิ้ง จำกัด,29,2565-11-22T00:00:00,ชลบุรี
--,30,GI(E) 1-733,บริษัท พรีแมกซ์ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,30,2565-11-22T00:00:00,ชลบุรี
--,31,GI(E) 1-734,บริษัท ดีแอลที อิเล็คทริค แอพพลายแอนซ์ จำกัด,31,2565-11-23T00:00:00,ชลบุรี
--,32,GI(E) 1-735,บริษัท จื้อยี่ ซิงค์ อินดัสทรี ( ประเทศไทย ) จำกัด,32,2565-11-23T00:00:00,ชลบุรี
--,33,GI(E) 1-736,บริษัท นิปปา (ประเทศไทย) จำกัด,33,2565-11-23T00:00:00,ชลบุรี
--,34,GI(E) 1-742,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,34,2565-11-23T00:00:00,ชลบุรี
--,35,GI(E) 1-743,บริษัท เกียวริซู คิเดน (ประเทศไทย) จำกัด,35,2565-11-23T00:00:00,ชลบุรี
--,36,GI(E) 1-746,บริษัท เอเอฟอาร์ พลาสโมลด์ จำกัด,36,2565-11-23T00:00:00,ชลบุรี
--,37,GI(E) 1-794,บริษัท เอ็นอีไอเอส แอนด์ โทกาโล่ (ประเทศไทย) จำกัด,37,2565-06-12T00:00:00,ชลบุรี
