จำนวน,ประเภท,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
68.17,อันตราย (HW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,1,2564,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
"72,350.55",ไม่อันตราย (NHW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,2,2564,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
67.14,อันตราย (HW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,3,2565,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
"72,458.51",ไม่อันตราย (NHW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,4,2565,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
74.29,อันตราย (HW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,5,2566,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
"73,674.82",ไม่อันตราย (NHW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,6,2566,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
132.1,อันตราย (HW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,7,2567,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
"2,200.00",ไม่อันตราย (NHW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,8,2567,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
10,อันตราย (HW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,9,2568,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
0,ไม่อันตราย (NHW),สำนักงานอุตสาหกรรมจังหวัดนราธิวาส,10,2568,ปริมาณกากจากโรงงานอุตสาหกรรม,นราธิวาส,ตัน
