_id,ปี,โรงงานฯอาหาร,อำเภอ,จังหวัด
1,2566,16,เมืองเพชรบุรี,เพชรบุรี
2,2566,9,เขาย้อย,เพชรบุรี
3,2566,1,หนองหญ้าปล้อง,เพชรบุรี
4,2566,8,ชะอำ,เพชรบุรี
5,2566,11,ท่ายาง,เพชรบุรี
6,2566,4,บ้านลาด,เพชรบุรี
7,2566,9,บ้านแหลม,เพชรบุรี
8,2566,0,แก่งกระจาน,เพชรบุรี
9,2567,9,เมืองเพชรบุรี,เพชรบุรี
10,2567,11,เขาย้อย,เพชรบุรี
11,2567,2,หนองหญ้าปล้อง,เพชรบุรี
12,2567,10,ชะอำ,เพชรบุรี
13,2567,7,ท่ายาง,เพชรบุรี
14,2567,1,บ้านลาด,เพชรบุรี
15,2567,4,บ้านแหลม,เพชรบุรี
16,2567,0,แก่งกระจาน,เพชรบุรี
17,2568,11,เมืองเพชรบุรี,เพชรบุรี
18,2568,13,เขาย้อย,เพชรบุรี
19,2568,2,หนองหญ้าปล้อง,เพชรบุรี
20,2568,9,ชะอำ,เพชรบุรี
21,2568,8,ท่ายาง,เพชรบุรี
22,2568,1,บ้านลาด,เพชรบุรี
23,2568,4,บ้านแหลม,เพชรบุรี
24,2568,0,แก่งกระจาน,เพชรบุรี
