ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ระดับการศึกษา,ไตรมาส 2,เพศ,จังหวัด
422594.07,414602.14,1,2565,431705.32,ยอดรวม,427215.88,รวม,สระบุรี
232578.39,226465.34,2,2565,235209.9,ยอดรวม,234704.91,ชาย                         ,สระบุรี
190015.68,188136.8,3,2565,196495.43,ยอดรวม,192510.96,หญิง                        ,สระบุรี
8300.76,8972.16,4,2565,7898.81,ไม่มีการศึกษา,8022.47,รวม,สระบุรี
3115.14,4107.06,5,2565,2048.71,ไม่มีการศึกษา,2619.8,ชาย                         ,สระบุรี
5185.62,4865.11,6,2565,5850.1,ไม่มีการศึกษา,5402.67,หญิง                        ,สระบุรี
60391.67,63430.77,7,2565,64685.12,ต่ำกว่าประถมศึกษา,68656.83,รวม,สระบุรี
32868.22,28113.86,8,2565,33520.23,ต่ำกว่าประถมศึกษา,32049.67,ชาย                         ,สระบุรี
27523.45,35316.91,9,2565,31164.89,ต่ำกว่าประถมศึกษา,36607.16,หญิง                        ,สระบุรี
68180.7,71432.86,10,2565,80850.59,ประถมศึกษา,71044.05,รวม,สระบุรี
38775.6,45312.83,11,2565,45329.98,ประถมศึกษา,43438.62,ชาย                         ,สระบุรี
29405.1,26120.03,12,2565,35520.61,ประถมศึกษา,27605.43,หญิง                        ,สระบุรี
80454.23,80878.56,13,2565,89173.36,มัธยมศึกษาตอนต้น,93493.55,รวม,สระบุรี
48110.57,48630.09,14,2565,50939.86,มัธยมศึกษาตอนต้น,54495.33,ชาย                         ,สระบุรี
32343.66,32248.47,15,2565,38233.5,มัธยมศึกษาตอนต้น,38998.22,หญิง                        ,สระบุรี
60498.86,61160.94,16,2565,57953.46,มัธยมศึกษาตอนปลาย (สายสามัญ),58874.63,รวม,สระบุรี
34048.12,36186.47,17,2565,31259.47,มัธยมศึกษาตอนปลาย (สายสามัญ),32442.53,ชาย                         ,สระบุรี
26450.74,24974.46,18,2565,26693.99,มัธยมศึกษาตอนปลาย (สายสามัญ),26432.1,หญิง                        ,สระบุรี
23703.16,18726.68,19,2565,23806.01,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),16776.97,รวม,สระบุรี
16887.52,13358.71,20,2565,15762.84,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),11106.01,ชาย                         ,สระบุรี
6815.65,5367.97,21,2565,8043.17,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),5670.96,หญิง                        ,สระบุรี
-,242.53,22,2565,-,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),265.42,รวม,สระบุรี
-,242.53,23,2565,-,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),265.42,ชาย                         ,สระบุรี
-,-,24,2565,-,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),-,หญิง                        ,สระบุรี
60014.48,55411.51,25,2565,47459.91,อุดมศึกษา (สายวิชาการ),46130.1,รวม,สระบุรี
21370.49,16878.07,26,2565,18515.77,อุดมศึกษา (สายวิชาการ),17311.17,ชาย                         ,สระบุรี
38643.99,38533.43,27,2565,28944.14,อุดมศึกษา (สายวิชาการ),28818.93,หญิง                        ,สระบุรี
48657.65,47598.33,28,2565,46295.02,อุดมศึกษา (สายวิชาชีพ),55674.44,รวม,สระบุรี
31380.81,30283.54,29,2565,30865.63,อุดมศึกษา (สายวิชาชีพ),36804.44,ชาย                         ,สระบุรี
17276.85,17314.79,30,2565,15429.39,อุดมศึกษา (สายวิชาชีพ),18870.0,หญิง                        ,สระบุรี
4096.09,3283.31,31,2565,5821.83,อุดมศึกษา (สายวิชาการศึกษา),3233.59,รวม,สระบุรี
2450.35,1651.99,32,2565,2760.23,อุดมศึกษา (สายวิชาการศึกษา),2015.82,ชาย                         ,สระบุรี
1645.74,1631.31,33,2565,3061.6,อุดมศึกษา (สายวิชาการศึกษา),1217.77,หญิง                        ,สระบุรี
-,-,34,2565,-,อื่น ๆ,-,รวม,สระบุรี
-,-,35,2565,-,อื่น ๆ,-,ชาย                         ,สระบุรี
-,-,36,2565,-,อื่น ๆ,-,หญิง                        ,สระบุรี
8296.46,3464.5,37,2565,7761.22,ไม่ทราบ,5043.83,รวม,สระบุรี
3571.58,1700.2,38,2565,4207.17,ไม่ทราบ,2156.1,ชาย                         ,สระบุรี
4724.88,1764.3,39,2565,3554.05,ไม่ทราบ,2887.73,หญิง                        ,สระบุรี
419096.0,417998.0,40,2566,420184.0,ยอดรวม,414172.0,รวม,สระบุรี
234113.0,231325.0,41,2566,235874.0,ยอดรวม,235907.0,ชาย                         ,สระบุรี
184983.0,186673.0,42,2566,184309.0,ยอดรวม,178265.0,หญิง                        ,สระบุรี
