_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ผลผลิต,ผลผลิตเฉลี่ย
1,2560,34.86,192.77,11236,5530,518
2,2561,34.14,101.43,8987,2971,353
3,2562,30,135.29,8297,3443,464
4,2563,28.66,116.23,7530,4056,540
5,2564,35.86,122.1,6771,3405,504
