id,ข้าวนาปี,กล้วยน้ำว้า,_id,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ
1," 78,956 "," 1,192 ",1, 6 , 13 ," 4,019.56 ",เมืองตาก
2," 23,377 ", 243 ,2, 26 , 7 ," 2,668.72 ",บ้านตาก
3," 17,974 ", 274 ,3, 777 , 19 ," 7,849.49 ",สามเงา
4," 62,018 ", 595 ,4, 1 , 5 , 34.25 ,แม่ระมาด
5," 54,858 ", 355 ,5, 3 , 8 , 23.13 ,ท่าสองยาง
6," 53,781 ", 970 ,6, 0 , 27 , 89.57 ,แม่สอด
7," 15,636 ", 653 ,7, 231 ," 1,439 ", 89.57 ,พบพระ
8," 44,854 "," 2,271 ",8, 37 , 45 , 36.25 ,อุ้มผาง
9," 15,811 ", 275 ,9, 176 , 12 ," 15,973.53 ",วังเจ้า
," 367,265 "," 6,828 ",10," 1,257 "," 1,575 "," 30,784.05 ",รวม
