﻿year,sex,level_of_edu,quarter,_id,region,value,unit,source
2556,ชาย,ต่ำกว่าประถมศึกษา,ไตรมาส 1,1,กรุงเทพมหานคร,0.26,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ต่ำกว่าประถมศึกษา,ไตรมาส 1,2,กรุงเทพมหานคร,0.54,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ประถมศึกษา,ไตรมาส 1,3,กรุงเทพมหานคร,0.57,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนต้น,ไตรมาส 1,4,กรุงเทพมหานคร,0.54,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนต้น,ไตรมาส 1,5,กรุงเทพมหานคร,0.49,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไม่มีการศึกษา,ไตรมาส 1,6,ภาคกลาง,0.09,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ต่ำกว่าประถมศึกษา,ไตรมาส 1,7,ภาคกลาง,1.59,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ต่ำกว่าประถมศึกษา,ไตรมาส 1,8,ภาคกลาง,1.95,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ประถมศึกษา,ไตรมาส 1,9,ภาคกลาง,0.49,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ประถมศึกษา,ไตรมาส 1,10,ภาคกลาง,0.36,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนต้น,ไตรมาส 1,11,ภาคกลาง,2.29,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนต้น,ไตรมาส 1,12,ภาคกลาง,1.5,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนปลายสายสามัญ,ไตรมาส 1,13,ภาคกลาง,0.54,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนปลายสายสามัญ,ไตรมาส 1,14,ภาคกลาง,0.29,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,อุดมศึกษาสายวิชาการศึกษา,ไตรมาส 1,15,ภาคกลาง,0.22,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไม่มีการศึกษา,ไตรมาส 1,16,ภาคเหนือ,5.04,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไม่มีการศึกษา,ไตรมาส 1,17,ภาคเหนือ,6.14,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ต่ำกว่าประถมศึกษา,ไตรมาส 1,18,ภาคเหนือ,10.09,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ต่ำกว่าประถมศึกษา,ไตรมาส 1,19,ภาคเหนือ,12.41,พันคน,สำนักงานสถิติแห่งชาติ
