เนื้อที่เพาะปลูก,_id,ปี,หน่วยนับ,อำเภอ,รายการ
13163.2,1,2564/2565,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
4978.75,2,2564/2565,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
277.25,3,2564/2565,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
30462.37,4,2564/2565,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
6094.7,5,2564/2565,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
800.75,6,2564/2565,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
49890.33,7,2564/2565,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
2980.13,8,2564/2565,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
20562.65,9,2564/2565,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
50031.38,10,2564/2565,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
843.5,11,2564/2565,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
78620.03,12,2564/2565,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
17218.31,13,2564/2565,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
12464.38,14,2564/2565,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
6409.0,15,2564/2565,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
6434.64,16,2565/2566,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
3698.25,17,2565/2566,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
283.06,18,2565/2566,ไร่,ชุมแสง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
28187.12,19,2565/2566,ไร่,หนองบัว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
5554.34,20,2565/2566,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
1039.0,21,2565/2566,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
35812.47,22,2565/2566,ไร่,ตาคลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
1938.38,23,2565/2566,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
19709.27,24,2565/2566,ไร่,ไพศาลี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
33511.93,25,2565/2566,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
557.54,26,2565/2566,ไร่,ลาดยาว,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
71715.56,27,2565/2566,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
11700.13,28,2565/2566,ไร่,แม่วงก์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
10191.41,29,2565/2566,ไร่,แม่เปิน,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
4232.25,30,2565/2566,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
5714.83,31,2566/2567,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
2515.0,32,2566/2567,ไร่,โกรกพระ,เนื้อที่เพาะปลูกข้าวโพดเลี้ยงสัตว์รุ่น1
