_id,ปี,การจ้างงานต่างชาติ,การจ้างงานไทย
1,2560,352,"14,318"
2,2561,495,"14,913"
3,2562,"2,283","19,312"
4,2563,764,"15,071"
5,2564,986,"25,863"
6,2565,951,"13,675"
7,2566,1887,32159
