﻿year,sex,quarter,_id,area,region,value,unit,source
2556,ชาย,ไตรมาส 1,1,ในเขตเทศบาล,กรุงเทพมหานคร,544.8,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 1,2,ในเขตเทศบาล,กรุงเทพมหานคร,1109.47,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 1,3,ในเขตเทศบาล,ภาคกลาง,479.02,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 1,4,ในเขตเทศบาล,ภาคกลาง,902.11,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 1,5,นอกเขตเทศบาล,ภาคกลาง,714.98,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 1,6,นอกเขตเทศบาล,ภาคกลาง,1422.55,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 1,7,ในเขตเทศบาล,ภาคเหนือ,311.81,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 1,8,ในเขตเทศบาล,ภาคเหนือ,523.93,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 1,9,นอกเขตเทศบาล,ภาคเหนือ,701.11,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 1,10,นอกเขตเทศบาล,ภาคเหนือ,1344.29,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 1,11,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,419.8,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 1,12,ในเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,763.09,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 1,13,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,1495.76,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 1,14,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,3073.45,พันคน,สำนักงานสถิติแห่งชาติ
