แรงม้าเครื่องจักรรวม,จำนวนคนงาน,เงินลงทุน (ล้านบาท),_id,ปี,จำนวนโรงงาน (แห่ง),จังหวัด
2411770.436,9285,45325.89754,1,2565,632,กำแพงเพชร
2381509.936,9167,43596.28434,2,2564,623,กำแพงเพชร
2343950.766,8587,38461.79638,3,2563,608,กำแพงเพชร
2243006.956,8905,33962.71168,4,2562,726,กำแพงเพชร
2241997.786,8692,33510.16905,5,2561,718,กำแพงเพชร
