﻿year,level_of_edu,quarter,_id,labor_force_sta,region,value,unit,source
2567,03. ประถมศึกษา,ไตรมาส 2,1,เรียนหนังสือ,1) กรุงเทพมหานคร,23.9,พันคน,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 2,2,เรียนหนังสือ,1) กรุงเทพมหานคร,166.7,พันคน,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 2,3,เรียนหนังสือ,1) กรุงเทพมหานคร,222.6,พันคน,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 2,4,เรียนหนังสือ,1) กรุงเทพมหานคร,20.1,พันคน,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 2,5,เรียนหนังสือ,1) กรุงเทพมหานคร,0.7,พันคน,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 2,6,เรียนหนังสือ,1) กรุงเทพมหานคร,7.2,พันคน,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 2,7,เรียนหนังสือ,1) กรุงเทพมหานคร,0.7,พันคน,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 2,8,เรียนหนังสือ,1) กรุงเทพมหานคร,2.3,พันคน,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 2,9,เรียนหนังสือ,1) กรุงเทพมหานคร,0.8,พันคน,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 2,10,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,49.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 2,11,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,259.9,พันคน,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 2,12,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,120.2,พันคน,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 2,13,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,79.8,พันคน,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 2,14,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,46.4,พันคน,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 2,15,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,39.8,พันคน,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 2,16,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,0.9,พันคน,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 2,17,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,87.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 2,18,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,24.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 2,19,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,20.9,พันคน,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 2,20,ยังเด็กชรา/ไม่สามารถทำงานได้,1) กรุงเทพมหานคร,14.3,พันคน,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 2,21,อื่นๆ,1) กรุงเทพมหานคร,1.5,พันคน,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 2,22,อื่นๆ,1) กรุงเทพมหานคร,7.7,พันคน,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 2,23,อื่นๆ,1) กรุงเทพมหานคร,21.3,พันคน,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 2,24,อื่นๆ,1) กรุงเทพมหานคร,26.9,พันคน,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 2,25,อื่นๆ,1) กรุงเทพมหานคร,30.6,พันคน,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 2,26,อื่นๆ,1) กรุงเทพมหานคร,23.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 2,27,อื่นๆ,1) กรุงเทพมหานคร,149.5,พันคน,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 2,28,อื่นๆ,1) กรุงเทพมหานคร,19.9,พันคน,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 2,29,อื่นๆ,1) กรุงเทพมหานคร,29.2,พันคน,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 2,30,อื่นๆ,1) กรุงเทพมหานคร,2.9,พันคน,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 2,31,ทำงานบ้าน,2) ภาคกลาง,30.7,พันคน,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 2,32,ทำงานบ้าน,2) ภาคกลาง,295.1,พันคน,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 2,33,ทำงานบ้าน,2) ภาคกลาง,322.6,พันคน,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 2,34,ทำงานบ้าน,2) ภาคกลาง,283.5,พันคน,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 2,35,ทำงานบ้าน,2) ภาคกลาง,203.4,พันคน,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 2,36,ทำงานบ้าน,2) ภาคกลาง,79.5,พันคน,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 2,37,ทำงานบ้าน,2) ภาคกลาง,0.8,พันคน,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 2,38,ทำงานบ้าน,2) ภาคกลาง,157.2,พันคน,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 2,39,ทำงานบ้าน,2) ภาคกลาง,69.1,พันคน,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 2,40,ทำงานบ้าน,2) ภาคกลาง,24.0,พันคน,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 2,41,ทำงานบ้าน,2) ภาคกลาง,4.2,พันคน,สำนักงานสถิติแห่งชาติ
