จำนวน,_id,ปี,เพศ,รายการ,หน่วย
29784,1,2555,ชาย,ผู้สูงอายุที่ทำงาน,คน
21124,2,2555,หญิง,ผู้สูงอายุที่ทำงาน,คน
27446,3,2556,ชาย,ผู้สูงอายุที่ทำงาน,คน
24867,4,2556,หญิง,ผู้สูงอายุที่ทำงาน,คน
30582,5,2557,ชาย,ผู้สูงอายุที่ทำงาน,คน
24347,6,2557,หญิง,ผู้สูงอายุที่ทำงาน,คน
29963,7,2558,ชาย,ผู้สูงอายุที่ทำงาน,คน
23716,8,2558,หญิง,ผู้สูงอายุที่ทำงาน,คน
29932,9,2559,ชาย,ผู้สูงอายุที่ทำงาน,คน
30123,10,2559,หญิง,ผู้สูงอายุที่ทำงาน,คน
33964,11,2560,ชาย,ผู้สูงอายุที่ทำงาน,คน
29155,12,2560,หญิง,ผู้สูงอายุที่ทำงาน,คน
30465,13,2561,ชาย,ผู้สูงอายุที่ทำงาน,คน
30715,14,2561,หญิง,ผู้สูงอายุที่ทำงาน,คน
30356,15,2562,ชาย,ผู้สูงอายุที่ทำงาน,คน
36621,16,2562,หญิง,ผู้สูงอายุที่ทำงาน,คน
31713,17,2563,ชาย,ผู้สูงอายุที่ทำงาน,คน
32035,18,2563,หญิง,ผู้สูงอายุที่ทำงาน,คน
30981,19,2564,ชาย,ผู้สูงอายุที่ทำงาน,คน
26266,20,2564,หญิง,ผู้สูงอายุที่ทำงาน,คน
33159,21,2565,ชาย,ผู้สูงอายุที่ทำงาน,คน
32787,22,2565,หญิง,ผู้สูงอายุที่ทำงาน,คน
39368,23,2566,ชาย,ผู้สูงอายุที่ทำงาน,คน
38256,24,2566,หญิง,ผู้สูงอายุที่ทำงาน,คน
35501,25,2567,ชาย,ผู้สูงอายุที่ทำงาน,คน
35110,26,2567,หญิง,ผู้สูงอายุที่ทำงาน,คน
36108,27,2568,ชาย,ผู้สูงอายุที่ทำงาน,คน
33929,28,2568,หญิง,ผู้สูงอายุที่ทำงาน,คน
