จำนวน,_id,ปี,จังหวัด,หน่วย
1674,1,2568,ระยอง,แห่ง
1625,2,2567,ระยอง,แห่ง
1670,3,2566,ระยอง,แห่ง
747,4,2565,ระยอง,แห่ง
125,5,2564,ระยอง,แห่ง
