รายการชุดข้อมูล,จำนวน,ที่มา,_id,ปี,ตำบล,อำเภอ,จังหวัด,หน่วย
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,85,ระบบสารสนเทศการผลิตทางด้านการเกษตร,1,2561,แก่งเสี้ยน,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,143,ระบบสารสนเทศการผลิตทางด้านการเกษตร,2,2561,หนองบัว,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,70,ระบบสารสนเทศการผลิตทางด้านการเกษตร,3,2561,ช่องสะเดา,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,119,ระบบสารสนเทศการผลิตทางด้านการเกษตร,4,2561,บ้านเก่า,เมืองกาญจนบุรี,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2675,ระบบสารสนเทศการผลิตทางด้านการเกษตร,5,2561,ลุ่มสุ่ม,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,402,ระบบสารสนเทศการผลิตทางด้านการเกษตร,6,2561,ท่าเสา,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,147,ระบบสารสนเทศการผลิตทางด้านการเกษตร,7,2561,สิงห์,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1343,ระบบสารสนเทศการผลิตทางด้านการเกษตร,8,2561,ไทรโยค,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,517,ระบบสารสนเทศการผลิตทางด้านการเกษตร,9,2561,วังกระแจะ,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,615,ระบบสารสนเทศการผลิตทางด้านการเกษตร,10,2561,ศรีมงคล,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,3091,ระบบสารสนเทศการผลิตทางด้านการเกษตร,11,2561,บ้องตี้,ไทรโยค,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,550,ระบบสารสนเทศการผลิตทางด้านการเกษตร,12,2561,บ่อพลอย,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1250,ระบบสารสนเทศการผลิตทางด้านการเกษตร,13,2561,หนองกุ่ม,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,148,ระบบสารสนเทศการผลิตทางด้านการเกษตร,14,2561,หนองรี,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,45,ระบบสารสนเทศการผลิตทางด้านการเกษตร,15,2561,หลุมรัง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,450,ระบบสารสนเทศการผลิตทางด้านการเกษตร,16,2561,ช่องด่าน,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,36,ระบบสารสนเทศการผลิตทางด้านการเกษตร,17,2561,หนองกร่าง,บ่อพลอย,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,6000,ระบบสารสนเทศการผลิตทางด้านการเกษตร,18,2561,นาสวน,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,7150,ระบบสารสนเทศการผลิตทางด้านการเกษตร,19,2561,ด่านแม่แฉลบ,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2152,ระบบสารสนเทศการผลิตทางด้านการเกษตร,20,2561,หนองเป็ด,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2500,ระบบสารสนเทศการผลิตทางด้านการเกษตร,21,2561,ท่ากระดาน,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,4352,ระบบสารสนเทศการผลิตทางด้านการเกษตร,22,2561,เขาโจด,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,2650,ระบบสารสนเทศการผลิตทางด้านการเกษตร,23,2561,แม่กระบุง,ศรีสวัสดิ์,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,420,ระบบสารสนเทศการผลิตทางด้านการเกษตร,24,2561,ท่าขนุน,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1500,ระบบสารสนเทศการผลิตทางด้านการเกษตร,25,2561,หินดาด,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,1220,ระบบสารสนเทศการผลิตทางด้านการเกษตร,26,2561,ลิ่นถิ่น,ทองผาภูมิ,กาญจนบุรี,ไร่
พื้นที่เพาะปลูกข้าวโพดเลี้ยงสัตว์,3120,ระบบสารสนเทศการผลิตทางด้านการเกษตร,27,2561,ชะแล,ทองผาภูมิ,กาญจนบุรี,ไร่
