จำนวนผู้เข้า,โครงการ/กิจกรรม,_id,เป้าหมาย (คน),จำนวนผู้ผ่าน,ร้อยละเข้า,ร้อยละผ่าน
"33,576",รวมทุกกิจกรรม,1,"15,145","33,333",221.70%,99.28%
"19,047",กรมดำเนินการเอง,2,"9,145","18,831",208.28%,98.87%
"14,529",สถานประกอบกิจการดำเนินการ,3,"6,000","14,502",242.15%,99.81%
422,โครงการพัฒนาศักยภาพแรงงานเพื่อรองรับการจ่ายค่าจ้างตามมาตรฐานฝีมือแรงงาน,4,350,244,120.57%,57.82%
"4,563",โครงการพัฒนา ศักยภาพและอิสระ และกลุ่มเป้าหมายเฉพาะเพื่อเพิ่มโอกาสในการประกอบอาชีพ,5,"4,015","4,560",113.65%,99.93%
209,โครงการพัฒนาฝีมือแรงงานรองรับนโยบาย Soft Power,6,190,202,110.00%,96.65%
"28,535",โครงการพัฒนาโดมิคส์สภาพแรงงานไทย,7,"10,310","28,497",276.77%,99.87%
260,โครงการพัฒนาฝีมือแรงงานรองรับการทำงานทั้งในประเทศและต่างประเทศ,8,240,243,108.33%,93.46%
40,โครงการพัฒนาศักยภาพอุตสาหกรรมยานยนต์สมัยใหม่,9,40,40,100.00%,100.00%
