ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
0,กรมปศุสัตว์,1,2564,เมืองชัยนาท,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,2,2564,มโนรมย์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,3,2564,วัดสิงห์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,4,2564,สรรพยา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,5,2564,สรรคบุรี,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,6,2564,หันคา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,7,2564,หนองมะโมง,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,8,2564,เนินขาม,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,9,2565,เมืองชัยนาท,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,10,2565,มโนรมย์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,11,2565,วัดสิงห์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,12,2565,สรรพยา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,13,2565,สรรคบุรี,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,14,2565,หันคา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,15,2565,หนองมะโมง,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,16,2565,เนินขาม,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,17,2566,เมืองชัยนาท,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,18,2566,มโนรมย์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,19,2566,วัดสิงห์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,20,2566,สรรพยา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,21,2566,สรรคบุรี,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,22,2566,หันคา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,23,2566,หนองมะโมง,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,24,2566,เนินขาม,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,25,2567,เมืองชัยนาท,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,26,2567,มโนรมย์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,27,2567,วัดสิงห์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,28,2567,สรรพยา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,29,2567,สรรคบุรี,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,30,2567,หันคา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
12,กรมปศุสัตว์,31,2567,หนองมะโมง,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,32,2567,เนินขาม,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,33,2568,เมืองชัยนาท,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,34,2568,มโนรมย์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,35,2568,วัดสิงห์,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,36,2568,สรรพยา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
1,กรมปศุสัตว์,37,2568,สรรคบุรี,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,38,2568,หันคา,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
30,กรมปศุสัตว์,39,2568,หนองมะโมง,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
0,กรมปศุสัตว์,40,2568,เนินขาม,จำนวนฟาร์มที่ผ่านมาตรฐาน GAP,ชัยนาท,แห่ง
