_id,ชนิดสินค้า,ราคาที่เกษตรกรขายได้,พื้นที่ปลูก,มูลค่าผลผลิต,ผลผลิต,ปีการผลิต,ผลผลิตเฉลี่ย
1,ทุเรียน,69.79,36893,2718.39,38951,2561,1610
2,มังคุด,84.61,38863,1233.87,14583,2561,398
3,เงาะ,24.8,51904,1889.29,76181,2561,1554
4,ลองกอง,34.14,8987,101.43,2971,2561,353
5,ยางพารา,27.33,338597,1699.35,62179,2561,206
6,ปาล์มน้ำมัน,3.34,63107,535.73,160399,2561,2615
7,ข้าว,9.5,15348,65.29,6873,2561,449
8,สับปะรดโรงงาน,3.21,4919,59.77,18621,2561,3837
9,สับปะรดตราดสีทอง,9.91,16133,400.43,40407,2561,3490
10,ทุเรียน,95,40439,4575.01,48158,2562,1846
11,มังคุด,55,38923,1904.48,34627,2562,929
12,เงาะ,27,52590,2345.92,86886,2562,1762
13,ลองกอง,30,8297,115.29,3843,2562,464
14,ยางพารา,23.12,337707,1398.48,60488,2562,204
15,ปาล์มน้ำมัน,2.95,63821,508.26,172293,2562,2819
16,ข้าวนาปี,9.5,14415,60.43,6361,2562,497
17,สับปะรดโรงงาน,3.21,6219,66.57,20739,2562,3605
18,สับปะรดตราดสีทอง,10.04,16003,546.36,54418,2562,3596
19,ทุเรียน,100.84,45239,5564.04,55176,2563,1993
20,มังคุด,42.51,39547,1780.32,41880,2563,1113
21,เงาะ,15.08,53526,1572.2,104248,2563,2065
22,ลองกอง,28.66,7530,116.23,4056,2563,540
23,ยางพารา,39.12,329964,2313.09,59128,2563,206
24,ปาล์มน้ำมัน,4,64808,689.39,172263,2563,2710
25,ข้าว,8.2,14142,55.23,6735,2563,443
26,สับปะรดโรงงาน,9.36,5698,170.94,18263,2563,3307
27,สับปะรดตราดสีทอง,10.43,16560,557.44,53446,2563,3528
28,ทุเรียน,110.49,59199,6280.69,56844,2564,1773
29,มังคุด,85.48,39696,1912.79,22377,2564,596
30,เงาะ,23.21,52791,2162.68,93179,2564,1911
31,ลองกอง,35.86,6771,122.1,3405,2564,504
32,ยางพารา,25.2,316473,1378.29,54694,2564,221
33,ปาล์มน้ำมัน,6.34,64156,1063.4,167729,2564,2694
34,ข้าว,6.4,14114,39.53,6176,2564,445
35,สับปะรดโรงงาน,6.15,5738,82.57,13426,2564,3164
36,สับปะรดตราดสีทอง,8.49,17923,471.97,55591,2564,3231
37,ทุเรียน,112.86,74700,9744.19,86336,2565,2323
38,มังคุด,57.72,39734,2658.34,46052,2565,1225
39,เงาะ,20.49,52134,2278.54,111226,2565,2295
40,ลองกอง,39.09,5497,132.23,3565,2565,649
41,ยางพารา,22.6,303235,1422.84,62957,2565,243
42,ปาล์มน้ำมัน,7.38,62683,1199.44,162527,2565,2634
43,ข้าว,7.26,13546,43.67,6015,2565,452
44,สับปะรดโรงงาน,6.45,2964,61.84,9595,2565,3325
45,สับปะรดตราดสีทอง,9.94,15171,465.59,46833,2565,3336
46,ทุเรียน,145.35,92175,13010.42,89511,2566,2102
47,มังคุด,70.87,48070,1978.69,27920,2566,743
48,เงาะ,25.46,39734,2114.2,83040,2566,1851
49,ลองกอง,43.17,2934,73.43,1701,2566,581
50,ยางพารา,21.15,310346,1152.97,54514,2566,209
51,ปาล์มน้ำมัน,5.05,63657,770.07,152490,2566,2562
52,ข้าว,8.66,12781,45.49,5253,2566,423
53,สับปะรดโรงงาน,8.3,13504,62.54,7535,2566,3298
54,สับปะรดตราดสีทอง,15.25,2435,680.26,44607,2566,3592
55,ทุเรียน,148.39,109160,12181.92,82094,2567,1707
56,มังคุด,54.63,39624,1969.03,36043,2567,966
57,เงาะ,37.76,47041,3652,96716,2567,2154
58,ลองกอง,47.3,2371,64.66,1367,2567,600
59,ยางพารา,29.42,295081,1455.44,49471,2567,211
60,ปาล์มน้ำมัน,5.42,63589,768.28,141749,2567,2385
61,ข้าว,8.72,12395,46.18,5296,2567,433
62,สับปะรดโรงงาน,11.67,2034,70.32,6026,2567,3300
63,สับปะรดตราดสีทอง,14.4,13197,603.11,41883,2567,3521
