_id,ค่าข้อมูล,ปี,หน่วย,รายการ
1,7.5,2563,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปี
2,6.6,2563,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปรัง
3,7.5,2564,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปี
4,8.7,2564,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปรัง
5,7.5,2565,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปี
6,8.7,2565,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปรัง
7,7,2566,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปี
8,8.7,2566,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปรัง
9,7.85,2567,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปี
10,8.85,2567,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปรัง
11,10,2568,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปี
12,7,2568,บาท/กิโลกรัม,ราคาเฉลี่ยผลผลิตข้าวนาปรัง
