เมษายน,พฤศจิกายน,ธันวาคม,พฤษภาคม,_id,กุมภาพันธ์,สิงหาคม,กันยายน,ตุลาคม,กรกฎาคม,รายการ,มิถุนายน,มีนาคม,มกราคม
,,,,1, 386.00 ,386,,,,1. จำนวนโรงงานอุตสาหกรรมในจังหวัด,, 385.00 , 386.00 
,,,,2," 18,429.71 ","18,547.29",,,,2. ทุนจดทะเบียนของอุตสาหกรรม(ล้านบาท),," 18,357.71 "," 18,429.71 "
,,,,3,,,,,,ที่มา : สำนักงานอุตสาหกรรมจังหวัดศรีสะเกษ ,,,
