VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
2817.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,1,ชาย,พันคน,กรุงเทพมหานคร,2561
2487.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,2,หญิง,พันคน,กรุงเทพมหานคร,2561
6420.09,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,3,ชาย,พันคน,ภาคกลาง,2561
5388.03,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,4,หญิง,พันคน,ภาคกลาง,2561
3472.07,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,5,ชาย,พันคน,ภาคเหนือ,2561
2900.81,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,6,หญิง,พันคน,ภาคเหนือ,2561
5250.97,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,7,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2561
4229.01,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,8,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2561
2889.09,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,9,ชาย,พันคน,ภาคใต้,2561
2289.71,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,10,หญิง,พันคน,ภาคใต้,2561
2845.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,11,ชาย,พันคน,กรุงเทพมหานคร,2561
2483.25,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,12,หญิง,พันคน,กรุงเทพมหานคร,2561
6389.38,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,13,ชาย,พันคน,ภาคกลาง,2561
5411.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,14,หญิง,พันคน,ภาคกลาง,2561
3455.29,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,15,ชาย,พันคน,ภาคเหนือ,2561
2931.67,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,ภาคเหนือ,2561
5347.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2561
4415.21,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,18,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2561
2916.71,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,ภาคใต้,2561
