จำนวน,ที่มา,_id,ปี,หน่วยนับ,รายการ,จังหวัด
"2,087",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,1,2561,ตัน,ปริมาณกากของเสียอุตสาหกรรม,พิจิตร
"78,422",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,2,2562,ตัน,ปริมาณกากของเสียอุตสาหกรรม,พิจิตร
"40,699",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,3,2563,ตัน,ปริมาณกากของเสียอุตสาหกรรม,พิจิตร
"168,782",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,4,2564,ตัน,ปริมาณกากของเสียอุตสาหกรรม,พิจิตร
"151,484",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,5,2565,ตัน,ปริมาณกากของเสียอุตสาหกรรม,พิจิตร
"130,432",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,6,2566,ตัน,ปริมาณกากของเสียอุตสาหกรรม,พิจิตร
