เดือน,_id,ปี,การจ้างงาน,หน่วย
มกราคม,1,2568," 445,301.00 ",คน
กุมภาพันธ์,2,2568," 445,301.00 ",คน
มีนาคม,3,2568," 445,301.00 ",คน
เมษายน,4,2568," 436,820.00 ",คน
พฤษภาคม,5,2568," 436,820.00 ",คน
มิถุนายน,6,2568," 436,820.00 ",คน
กรกฎาคม,7,2568," 431,337.00 ",คน
สิงหาคม,8,2568," 431,337.00 ",คน
กันยายน,9,2568," 431,337.00 ",คน
ตุลาคม,10,2568," 431,337.00 ",คน
พฤศจิกายน,11,2568," 431,337.00 ",คน
ธันวาคม,12,2568," 431,337.00 ",คน
