2565.0,2566.0,_id,ลำดับ,2563.0,อำเภอ,2564.0,2562.0
,,1,1,,เมืองนครสวรรค์,,
,,2,2,,เก้าเลี้ยว,,
,,3,3,,โกรกพระ,,
3,3,4,4,3,แม่เปิน,3,3
9,9,5,5,9,แม่วงก์,9,9
15,14,6,6,15,ไพศาลี,15,15
,,7,7,,ชุมแสง,,
1,1,8,8,1,ชุมตาบง,1,1
5,5,9,9,6,ตากฟ้า,6,6
4,4,10,10,2,ตาคลี,2,2
2,2,11,11,2,ท่าตะโก,2,2
,,12,12,,บรรพตพิสัย,,
,,13,13,,พยุหะคีรี,,
12,12,14,14,12,ลาดยาว,12,12
7,7,15,15,7,หนองบัว,7,7
58,57,16,,57,รวม,57,57
