_id,ปี,ห้องเย็น,อำเภอ,หน่วย
1,2562,2,เมืองจันทบุรี,โรงงาน
2,2562,4,ท่าใหม่,โรงงาน
3,2562,1,นายายอาม,โรงงาน
4,2563,2,เมืองจันทบุรี,โรงงาน
5,2563,4,ท่าใหม่,โรงงาน
6,2563,1,นายายอาม,โรงงาน
7,2564,2,เมืองจันทบุรี,โรงงาน
8,2564,4,ท่าใหม่,โรงงาน
9,2564,1,นายายอาม,โรงงาน
10,2565,2,เมืองจันทบุรี,โรงงาน
11,2565,4,ท่าใหม่,โรงงาน
12,2565,1,นายายอาม,โรงงาน
13,2565,1,เขาคิชฌกูฏ,โรงงาน
14,2566,2,เมืองจันทบุรี,โรงงาน
15,2566,4,ท่าใหม่,โรงงาน
16,2566,1,นายายอาม,โรงงาน
17,2566,1,เขาคิชฌกูฏ,โรงงาน
18,2567,2,เมืองจันทบุรี,โรงงาน
19,2567,4,ท่าใหม่,โรงงาน
20,2567,1,นายายอาม,โรงงาน
21,2567,1,เขาคิชฌกูฏ,โรงงาน
22,2568,1,เมืองจันทบุรี,โรงงาน
23,2568,4,ท่าใหม่,โรงงาน
24,2568,4,นายายอาม,โรงงาน
25,2568,1,เขาคิชฌกูฏ,โรงงาน
26,2568,2,มะขาม,โรงงาน
27,2568,1,ขลุง,โรงงาน
