ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,อำเภอ,รายการ
301,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,1,2563,ไร่,อำเภอท่าอุเทน,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
0,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,2,2564,ไร่,อำเภอท่าอุเทน,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
2,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,3,2565,ไร่,อำเภอท่าอุเทน,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
0,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,4,2563,ไร่,อำเภอโพนสวรรค์,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
64,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,5,2564,ไร่,อำเภอโพนสวรรค์,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
168.75,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,6,2565,ไร่,อำเภอโพนสวรรค์,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
660,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,7,2566,ไร่,อำเภอท่าอุเทน,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
659.25,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,8,2566,ไร่,อำเภอโพนสวรรค์,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
192.75,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,9,2567,ไร่,อำเภอท่าอุเทน,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
402.5,ศูนย์วิจัยและพัฒนาการเกษตรนครพนม,10,2567,ไร่,อำเภอโพนสวรรค์,เนื้อที่เพาะปลูกสับปะรดท่าอุเทน ที่ผ่านเกณฑ์การประเมินมาตรฐาน GAP
