field_name,_id,dic_id,data_type,description_en,description_thai
year,1,1,text,-,ปี
province,2,2,text,-,จังหวัด
region,3,3,text,-,ภาค
permission,4,4,text,-,การอนุญาต
number of authorized persons,5,5,text,-,จำนวนผู้มีอำนาจ
number of buildings,6,6,text,-,จำนวนอาคาร
building size,7,7,text,-,ขนาดอาคาร
value,8,8,decimal,-,ค่าข้อมูล
unit,9,9,text,-,หน่วยนับ
source,10,10,text,-,ที่มาระดับกรม
