_id,ปี,ปริมาณ,อำเภอ,หน่วย
1,2568,6924,เมืองนครปฐม,ลบ.ม./วัน
2,2568,2409,กำแพงแสน,ลบ.ม./วัน
3,2568,4750,นครชัยศรี,ลบ.ม./วัน
4,2568,3089,ดอนตูม,ลบ.ม./วัน
5,2568,15759,บางเลน,ลบ.ม./วัน
6,2568,23145,สามพราน,ลบ.ม./วัน
7,2568,406,พุทธมณฑล,ลบ.ม./วัน
