FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
NULL,20550000225409,จ3-58(1)-2/40นน,เมืองน่าน,น่าน,ห้างหุ้นส่วนจำกัด เอ็นพี วัสดุก่อสร้าง,2,524,โรงงานคอนกรีตผสมเสร็จ น่าน 2,"ผลิตท่อคอนกรีตอัดแรง, ผลิตเสาคอนกรีตและคอนกรีตบล๊อก",ดำเนินกิจการ,2023-04-18T21:00:05,100.73712,299,18.84137,-,ผาสิงห์
-,20510000125421,จ3-2(1)-1/42ลพ,เวียงหนองล่อง,ลำพูน,บริษัท อิ่นปัง จำกัด,1,525,บริษัท อิ่นปัง จำกัด,อบพืชผลทางการเกษตร,ดำเนินกิจการ,2023-04-18T21:00:05,98.74481,314,18.40906,-,หนองล่อง
NULL,20550000125427,จ3-14-1/42นน,เมืองน่าน,น่าน,นางสาวศิริจิต วงศ์วิเศษ,0,526,ศรีบุญชัย ไอซ์ (1999),ทำน้ำแข็งก้อนเล็ก ได้วันละ 25 ตัน,ดำเนินกิจการ,2023-04-18T21:00:05,100.74845,205-207,18.6771,NULL,กองควาย
พหลโยธิน,10570000225425,3-2(1)-2/42ชร,พาน,เชียงราย,ห้างหุ้นส่วนจำกัด โรงสี ก.เทพสวัสดิ์,2,527,ห้างหุ้นส่วนจำกัด โรงสี ก.เทพสวัสดิ์,อบเมล็ดพืชและเก็บรักษา,ดำเนินกิจการ,2023-04-18T21:00:05,99.7452,-,19.58337,-,สันติสุข
-,20500100325427,จ3-92-3/42ชม,สันป่าตอง,เชียงใหม่,บริษัท ทิพย์เกษตร จำกัด,11,528,บริษัท ทิพย์เกษตร จำกัด,ห้องเย็น,ดำเนินกิจการ,2023-04-18T21:00:05,98.86259,179,18.61607,-,บ้านแม
NULL,20500300125437,จ3-37-1/43ชม,หางดง,เชียงใหม่,นางสาวปิยพร เปรมนิรันดร,1,529,NULL,ทำเครื่องเรือน และเฟอร์นิเจอร์จากไม้ แกะสลักไม้,ดำเนินกิจการ,2023-04-18T21:00:05,98.93075,423,18.74288,NULL,หนองควาย
-,20570100125432,จ3-12(1)-1/43ชร,แม่ลาว,เชียงราย,บริษัท สุวิรุฬชาไทย จำกัด,5,530,บริษัท สุวิรุฬชาไทย จำกัด,ทำใบชาแห้งหรือใบชาผง,ดำเนินกิจการ,2023-04-18T21:00:05,99.70146,NULL,19.78745,-,ป่าก่อดำ
NULL,20500200225428,จ3-14-2/42ชม,สันป่าตอง,เชียงใหม่,นายวสันต์ จรัสวุฒิเดช,3,531,สโนว์ไอซ์ ยูนิค,ผลิตน้ำแข็งหลอด,ดำเนินกิจการ,2023-04-18T21:00:05,98.87028,354,18.56591,NULL,บ้านกลาง
NULL,20510200125429,จ3-72-1/42ลพ,เมืองลำพูน,ลำพูน,บริษัท บลูชิพส์ไมโครเฮ้าส์ จำกัด,10,532,บริษัท บลูชิพส์ไมโครเฮ้าส์ จำกัด,ผลิตแผงวงจรอิเล็คโทรนิค,ดำเนินกิจการ,2023-04-18T21:00:05,99.04568,212/2,18.61634,NULL,อุโมงค์
-,20540200125426,จ3-9(1)-1/42พร,เมืองแพร่,แพร่,นายฤทธิ์ชัย อ่อนน้อม,4,533,โรงสีชัยเจริญ,สีข้าว กำลังสีสูงสุด 20 เกวียน/วัน,ดำเนินกิจการ,2023-04-18T21:00:05,100.19239,5/6,18.19734,-,ทุ่งโฮ้ง
