_id,ปี,หน่วยนับ,อำเภอ,พื้นที่เพาะปลูก
1,2563,ไร่,เมืองหนองคาย,0
2,2563,ไร่,ท่าบ่อ,7
3,2563,ไร่,โพนพิสัย,0
4,2563,ไร่,ศรีเชียงใหม่,2758
5,2563,ไร่,สังคม,208
6,2563,ไร่,สระใคร,0
7,2563,ไร่,เฝ้าไร่,0
8,2563,ไร่,รัตนวาปี,438
9,2563,ไร่,โพธิ์ตาก,855
10,2564,ไร่,เมืองหนองคาย,0
11,2564,ไร่,ท่าบ่อ,2
12,2564,ไร่,โพนพิสัย,0
13,2564,ไร่,ศรีเชียงใหม่,2697
14,2564,ไร่,สังคม,250
15,2564,ไร่,สระใคร,0
16,2564,ไร่,เฝ้าไร่,0
17,2564,ไร่,รัตนวาปี,447
18,2564,ไร่,โพธิ์ตาก,880
19,2565,ไร่,เมืองหนองคาย,0
20,2565,ไร่,ท่าบ่อ,0
21,2565,ไร่,โพนพิสัย,0
22,2565,ไร่,ศรีเชียงใหม่,2512
23,2565,ไร่,สังคม,155
24,2565,ไร่,สระใคร,0
25,2565,ไร่,เฝ้าไร่,0
26,2565,ไร่,รัตนวาปี,384
27,2565,ไร่,โพธิ์ตาก,874
28,2566,ไร่,เมืองหนองคาย,0
29,2566,ไร่,ท่าบ่อ,0
30,2566,ไร่,โพนพิสัย,0
31,2566,ไร่,ศรีเชียงใหม่,1293
32,2566,ไร่,สังคม,174
33,2566,ไร่,สระใคร,0
34,2566,ไร่,เฝ้าไร่,0
35,2566,ไร่,รัตนวาปี,186
36,2566,ไร่,โพธิ์ตาก,170
37,2567,ไร่,เมืองหนองคาย,0
38,2567,ไร่,ท่าบ่อ,0
39,2567,ไร่,โพนพิสัย,0
40,2567,ไร่,ศรีเชียงใหม่,1679
41,2567,ไร่,สังคม,180
42,2567,ไร่,สระใคร,0
43,2567,ไร่,เฝ้าไร่,0
44,2567,ไร่,รัตนวาปี,170
45,2567,ไร่,โพธิ์ตาก,181
46,2568,ไร่,เมืองหนองคาย,0
47,2568,ไร่,ท่าบ่อ,110
48,2568,ไร่,โพนพิสัย,0
49,2568,ไร่,ศรีเชียงใหม่,1231
50,2568,ไร่,สังคม,160
51,2568,ไร่,สระใคร,0
52,2568,ไร่,เฝ้าไร่,0
53,2568,ไร่,รัตนวาปี,150
54,2568,ไร่,โพธิ์ตาก,0
