โรงงานสีขาว,_id,ปีงบประมาณ,อำเภอ
0,1,2566,หัวหิน
1,2,2566,ปราณบุรี
0,3,2566,สามร้อยยอด
1,4,2566,กุยบุรี
1,5,2566,เมืองประจวบฯ
0,6,2566,ทับสะแก
1,7,2566,บางสะพาน
0,8,2566,บางสะพานน้อย
3,9,2567,หัวหิน
0,10,2567,ปราณบุรี
0,11,2567,สามร้อยยอด
0,12,2567,กุยบุรี
0,13,2567,เมืองประจวบฯ
0,14,2567,ทับสะแก
0,15,2567,บางสะพาน
1,16,2567,บางสะพานน้อย
1,17,2568,หัวหิน
0,18,2568,ปราณบุรี
1,19,2568,สามร้อยยอด
0,20,2568,กุยบุรี
1,21,2568,เมืองประจวบฯ
1,22,2568,ทับสะแก
0,23,2568,บางสะพาน
0,24,2568,บางสะพานน้อย
