﻿year,work_status,quarter,_id,region,value,unit,source
2566,นายจ้าง,ไตรมาสที่ 1,37,กรุงเทพมหานคร,196.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 1,38,กรุงเทพมหานคร,545.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 1,39,กรุงเทพมหานคร,3435.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 1,40,กรุงเทพมหานคร,1258.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,41,กรุงเทพมหานคร,318.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 1,42,กรุงเทพมหานคร,1.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 1,43,ภาคกลาง,367.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 1,44,ภาคกลาง,1148.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 1,45,ภาคกลาง,6728.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 1,46,ภาคกลาง,3495.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,47,ภาคกลาง,1391.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 1,48,ภาคกลาง,1.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 1,49,ภาคเหนือ,103.1,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 1,50,ภาคเหนือ,630.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 1,51,ภาคเหนือ,1340.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 1,52,ภาคเหนือ,2823.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,53,ภาคเหนือ,1344.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 1,54,ภาคเหนือ,1.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 1,55,ภาคตะวันออกเฉียงเหนือ,130.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 1,56,ภาคตะวันออกเฉียงเหนือ,935.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 1,57,ภาคตะวันออกเฉียงเหนือ,2032.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 1,58,ภาคตะวันออกเฉียงเหนือ,4025.1,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,59,ภาคตะวันออกเฉียงเหนือ,1935.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 1,60,ภาคตะวันออกเฉียงเหนือ,37.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 1,61,ภาคใต้,231.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 1,62,ภาคใต้,512.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 1,63,ภาคใต้,1980.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 1,64,ภาคใต้,1863.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 1,65,ภาคใต้,805.1,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 1,66,ภาคใต้,8.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 2,67,กรุงเทพมหานคร,180.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 2,68,กรุงเทพมหานคร,550.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 2,69,กรุงเทพมหานคร,3467.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 2,70,กรุงเทพมหานคร,1244.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,71,กรุงเทพมหานคร,293.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 2,72,กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 2,73,ภาคกลาง,356.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 2,74,ภาคกลาง,1103.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 2,75,ภาคกลาง,6826.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 2,76,ภาคกลาง,3438.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,77,ภาคกลาง,1457.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 2,78,ภาคกลาง,0.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 2,79,ภาคเหนือ,94.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 2,80,ภาคเหนือ,605.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 2,81,ภาคเหนือ,1372.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 2,82,ภาคเหนือ,2718.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,83,ภาคเหนือ,1341.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 2,84,ภาคเหนือ,2.1,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 2,85,ภาคตะวันออกเฉียงเหนือ,106.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 2,86,ภาคตะวันออกเฉียงเหนือ,932.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 2,87,ภาคตะวันออกเฉียงเหนือ,1806.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 2,88,ภาคตะวันออกเฉียงเหนือ,4221.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,89,ภาคตะวันออกเฉียงเหนือ,2205.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 2,90,ภาคตะวันออกเฉียงเหนือ,37.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 2,91,ภาคใต้,198.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 2,92,ภาคใต้,521.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 2,93,ภาคใต้,1909.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 2,94,ภาคใต้,1876.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,95,ภาคใต้,801.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 2,96,ภาคใต้,4.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 3,97,กรุงเทพมหานคร,172.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 3,98,กรุงเทพมหานคร,487.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 3,99,กรุงเทพมหานคร,3427.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 3,100,กรุงเทพมหานคร,1271.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,101,กรุงเทพมหานคร,293.1,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 3,102,กรุงเทพมหานคร,0.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 3,103,ภาคกลาง,323.7,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 3,104,ภาคกลาง,1052.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 3,105,ภาคกลาง,7014.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 3,106,ภาคกลาง,3449.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,107,ภาคกลาง,1367.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 3,108,ภาคกลาง,1.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 3,109,ภาคเหนือ,102.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 3,110,ภาคเหนือ,624.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 3,111,ภาคเหนือ,1332.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 3,112,ภาคเหนือ,2764.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,113,ภาคเหนือ,1397.1,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 3,114,ภาคเหนือ,1.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 3,115,ภาคตะวันออกเฉียงเหนือ,92.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 3,116,ภาคตะวันออกเฉียงเหนือ,861.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 3,117,ภาคตะวันออกเฉียงเหนือ,1603.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 3,118,ภาคตะวันออกเฉียงเหนือ,4499.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,119,ภาคตะวันออกเฉียงเหนือ,2641.2,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 3,120,ภาคตะวันออกเฉียงเหนือ,15.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 3,121,ภาคใต้,213.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 3,122,ภาคใต้,508.0,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 3,123,ภาคใต้,1903.8,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 3,124,ภาคใต้,1855.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,125,ภาคใต้,812.4,พันคน,สำนักงานสถิติแห่งชาติ
2566,การรวมกลุ่ม,ไตรมาสที่ 3,126,ภาคใต้,2.9,พันคน,สำนักงานสถิติแห่งชาติ
2566,นายจ้าง,ไตรมาสที่ 4,127,กรุงเทพมหานคร,184.5,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างรัฐบาล,ไตรมาสที่ 4,128,กรุงเทพมหานคร,510.6,พันคน,สำนักงานสถิติแห่งชาติ
2566,ลูกจ้างเอกชน,ไตรมาสที่ 4,129,กรุงเทพมหานคร,3485.3,พันคน,สำนักงานสถิติแห่งชาติ
2566,ทำงานส่วนตัว,ไตรมาสที่ 4,130,กรุงเทพมหานคร,1255.0,พันคน,สำนักงานสถิติแห่งชาติ
