employee,unit_funds,machinery,area_eco_factory_city,unit_macinery,factory,_id,unit_factory,unit_employee,funds
35341.06,ล้านบาท,1147744.48,"ตำบลอ้อมน้อย อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร
ตามประกาศกระทรวงอุตสาหกรรม เรื่อง กำหนดพื้นที่เมืองอุตสาหกรรมเชิงนิเวศ ลงวันที่ 2 พฤศจิกายน 2561",แรงม้า,801,1,โรง,คน,58868
61249.42,ล้านบาท,392256.71,ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร ตามประกาศกระทรวงอุตสาหกรรม เรื่อง กำหนดพื้นที่เมืองอุตสาหกรรมเชิงนิเวศ ลงวันที่ 19 สิงหาคม 2565,แรงม้า,303,2,โรง,คน,25054
