Motortricycle taxi (tuk tuk),Fixed route taxi,Urban taxi,Car for hire,Farm vehicle,Motortricycle,Microbus&passengervan,Motorcycle,Tour taxi,Interprovincial taxi,Road roller,Automobile trailer,Public motorcycle,ปี,Sedan(not more than7),Hotel taxi,_id,Tractor,Van & pick up
,,,,,,97,21116,,,16,,2,2563,3076,,1,1669,2465
,,1,,,,56,21812,,,10,,,2564,2718,,2,1589,1906
,,2,,1,,52,20447,,,14,,,2565,2576,,3,1883,1608
,,4,,,1,36,18150,,,4,1,,2566,2271,,4,1368,1107
,,5,,,,43,16565,,,8,1,,2567,1625,,5,1122,840
