จำนวน,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
186,สำนักงานประกันสังคมจังหวัด,1,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กระบี่,คน
0,สำนักงานประกันสังคมจังหวัด,2,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กรุงเทพมหานคร,คน
324,สำนักงานประกันสังคมจังหวัด,3,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาญจนบุรี,คน
250,สำนักงานประกันสังคมจังหวัด,4,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กาฬสินธุ์,คน
463,สำนักงานประกันสังคมจังหวัด,5,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,กำแพงเพชร,คน
558,สำนักงานประกันสังคมจังหวัด,6,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ขอนแก่น,คน
171,สำนักงานประกันสังคมจังหวัด,7,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,จันทบุรี,คน
328,สำนักงานประกันสังคมจังหวัด,8,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ฉะเชิงเทรา,คน
584,สำนักงานประกันสังคมจังหวัด,9,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชลบุรี,คน
228,สำนักงานประกันสังคมจังหวัด,10,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยนาท,คน
410,สำนักงานประกันสังคมจังหวัด,11,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชัยภูมิ,คน
166,สำนักงานประกันสังคมจังหวัด,12,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ชุมพร,คน
385,สำนักงานประกันสังคมจังหวัด,13,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงราย,คน
1165,สำนักงานประกันสังคมจังหวัด,14,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เชียงใหม่,คน
346,สำนักงานประกันสังคมจังหวัด,15,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตรัง,คน
165,สำนักงานประกันสังคมจังหวัด,16,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตราด,คน
135,สำนักงานประกันสังคมจังหวัด,17,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ตาก,คน
102,สำนักงานประกันสังคมจังหวัด,18,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครนายก,คน
370,สำนักงานประกันสังคมจังหวัด,19,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครปฐม,คน
120,สำนักงานประกันสังคมจังหวัด,20,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครพนม,คน
423,สำนักงานประกันสังคมจังหวัด,21,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครราชสีมา,คน
411,สำนักงานประกันสังคมจังหวัด,22,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครศรีธรรมราช,คน
387,สำนักงานประกันสังคมจังหวัด,23,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นครสวรรค์,คน
613,สำนักงานประกันสังคมจังหวัด,24,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นนทบุรี,คน
121,สำนักงานประกันสังคมจังหวัด,25,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,นราธิวาส,คน
253,สำนักงานประกันสังคมจังหวัด,26,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,น่าน,คน
81,สำนักงานประกันสังคมจังหวัด,27,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บึงกาฬ,คน
317,สำนักงานประกันสังคมจังหวัด,28,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,บุรีรัมย์,คน
711,สำนักงานประกันสังคมจังหวัด,29,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปทุมธานี,คน
153,สำนักงานประกันสังคมจังหวัด,30,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ประจวบคีรีขันธ์,คน
141,สำนักงานประกันสังคมจังหวัด,31,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปราจีนบุรี,คน
125,สำนักงานประกันสังคมจังหวัด,32,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปัตตานี,คน
278,สำนักงานประกันสังคมจังหวัด,33,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พระนครศรีอยุธยา,คน
1472,สำนักงานประกันสังคมจังหวัด,34,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พะเยา,คน
253,สำนักงานประกันสังคมจังหวัด,35,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พังงา,คน
327,สำนักงานประกันสังคมจังหวัด,36,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พัทลุง,คน
271,สำนักงานประกันสังคมจังหวัด,37,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิจิตร,คน
476,สำนักงานประกันสังคมจังหวัด,38,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิษณุโลก,คน
154,สำนักงานประกันสังคมจังหวัด,39,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบุรี,คน
274,สำนักงานประกันสังคมจังหวัด,40,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบูรณ์,คน
376,สำนักงานประกันสังคมจังหวัด,41,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แพร่,คน
285,สำนักงานประกันสังคมจังหวัด,42,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ภูเก็ต,คน
219,สำนักงานประกันสังคมจังหวัด,43,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มหาสารคาม,คน
241,สำนักงานประกันสังคมจังหวัด,44,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มุกดาหาร,คน
171,สำนักงานประกันสังคมจังหวัด,45,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แม่ฮ่องสอน,คน
356,สำนักงานประกันสังคมจังหวัด,46,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยโสธร,คน
98,สำนักงานประกันสังคมจังหวัด,47,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยะลา,คน
267,สำนักงานประกันสังคมจังหวัด,48,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ร้อยเอ็ด,คน
172,สำนักงานประกันสังคมจังหวัด,49,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระนอง,คน
348,สำนักงานประกันสังคมจังหวัด,50,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระยอง,คน
320,สำนักงานประกันสังคมจังหวัด,51,2565,จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ราชบุรี,คน
