ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
สำนักงานประกันสังคมจังหวัดลพบุรี,1,2562,1,401,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,2,2563,2,393,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,3,2564,3,475,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,415,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,428,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,6,2567,6,430,ราย
สำนักงานประกันสังคมจังหวัดลพบุรี,7,2568,7,386,ราย
