_id,ลำดับ,2563.0,อำเภอ,2564.0,2562.0
1,1,13239,   เมืองนครสวรรค์,24717,26513
2,2,4758,   โกรกพระ,4014,14375
3,3,0,   ชุมแสง,0,0
4,4,6168,   หนองบัว,7975,5382
5,5,17084,   บรรพตพิสัย,23894,8639
6,6,14283,   เก้าเลี้ยว,17265,11544
7,7,83954,   ตาคลี,96013,154460
8,8,240,   ท่าตะโก,10098,42012
9,9,16877,   ไพศาลี,21433,27223
10,10,41510,   พยุหะคีรี,91321,172185
11,11,22044,   ลาดยาว,24267,22044
12,12,32245,   ตากฟ้า,76197,80398
13,13,34131,   แม่วงก์,24611,17994
14,14,21490,   แม่เปิน,26187,29070
15,15,69680,   ชุมตาบง,38702,64700
16,,377703,รวม,486693,676539
