ค่าข้อมูล,ที่มา,_id,ปี,กลุ่มอุตสาหกรรม,รายการ,จังหวัด,หน่วย
"60,910",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,ผลิตภัณฑ์จากพืช,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"250,781",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,อุตสาหกรรมอาหาร,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"5,105",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,อุตสาหกรรมเครื่องดื่ม,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"10,759",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,สิ่งทอ,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
369,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"4,181",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
170,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
131,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"19,030",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"6,177",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,ผลิตภัณฑ์จากปิโตรเลียม,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"1,420",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,ผลิตภัณฑ์พลาสติก,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"9,304",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,ผลิตภัณฑ์อโลหะ,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
269,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,ผลิตโลหะขั้นมูลฐาน,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
933,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,ผลิตภัณฑ์โลหะ,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
190,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,ผลิตเครื่องจักรและเครื่องกล,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
311,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"2,567",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
"18,648",สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การผลิตอื่นๆ,จำนวนเครื่องจักรของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แรงม้า
