_id,ปี,ไตรมาส,อื่น ๆ,ทำงานบ้าน,เรียนหนังสือ
1,2564,ไตรมาสที่ 1,"170,679","77,636","81,124"
2,2564,ไตรมาสที่ 2,"166,709","79,660","79,333"
3,2564,ไตรมาสที่ 3,"168,563","71,817","70,300"
4,2564,ไตรมาสที่ 4,"172,625","86,711","75,213"
5,2565,ไตรมาสที่ 1,"60,574","88,216","83,313"
6,2565,ไตรมาสที่ 2,"174,772","84,119","76,000"
7,2565,ไตรมาสที่ 3,"155,714","87,589","64,947"
8,2565,ไตรมาสที่ 4,"177,520","90,919","73,584"
9,2566,ไตรมาสที่ 1,"193,744","112,220","76,334"
10,2566,ไตรมาสที่ 2,"186,718","105,178","68,164"
11,2566,ไตรมาสที่ 3,"180,479","86,978","62,394"
12,2566,ไตรมาสที่ 4,"164,121","82,819","74,430"
