﻿year,worker_ict,_id,value,unit,source
2557,ผู้ทำงานงานด้าน ICT ,1,571,พันคน,สำนักงานสถิติแห่งชาติ
2558,ผู้ทำงานงานด้าน ICT ,2,365,พันคน,สำนักงานสถิติแห่งชาติ
2559,ผู้ทำงานงานด้าน ICT ,3,375,พันคน,สำนักงานสถิติแห่งชาติ
2560,ผู้ทำงานงานด้าน ICT ,4,386,พันคน,สำนักงานสถิติแห่งชาติ
2561,ผู้ทำงานงานด้าน ICT ,5,416,พันคน,สำนักงานสถิติแห่งชาติ
2562,ผู้ทำงานงานด้าน ICT ,6,434,พันคน,สำนักงานสถิติแห่งชาติ
2563,ผู้ทำงานงานด้าน ICT ,7,474,พันคน,สำนักงานสถิติแห่งชาติ
2564,ผู้ทำงานงานด้าน ICT ,8,524,พันคน,สำนักงานสถิติแห่งชาติ
2565,ผู้ทำงานงานด้าน ICT ,9,649,พันคน,สำนักงานสถิติแห่งชาติ
2566,ผู้ทำงานงานด้าน ICT ,10,644,พันคน,สำนักงานสถิติแห่งชาติ
