สถานภาพแรงงาน,_id,ปี,หญิง,ชาย,รวม
รวม,1,2562,14375,4496,18871
ผู้มีงานทำ,2,2562,10703,4112,14815
ผู้ว่างงาน,3,2562,515,385,900
ผู้ที่รอฤดูกาล,4,2562,,,
ผู้ไม่อยู่ในกำลังแรงงาน,5,2562,3175,,3157
รวม,6,2563,15195,5939,21133
ผู้มีงานทำ,7,2563,8848,3782,12629
ผู้ว่างงาน,8,2563,,1245,1245
ผู้ที่รอฤดูกาล,9,2563,,,
ผู้ไม่อยู่ในกำลังแรงงาน,10,2563,6347,912,7259
รวม,11,2564,7410,7779,15190
ผู้มีงานทำ,12,2564,5717,4641,10358
ผู้ว่างงาน,13,2564,379,1339,1718
ผู้ที่รอฤดูกาล,14,2564,,,
ผู้ไม่อยู่ในกำลังแรงงาน,15,2564,1314,1800,3113
