_id,ปี,โรงงานแปรรูป,อำเภอ,หน่วย
1,2562,2,เมืองจันทบุรี,โรงงาน
2,2562,2,มะขาม,โรงงาน
3,2562,2,ขลุง,โรงงาน
4,2562,2,สอยดาว,โรงงาน
5,2563,2,เมืองจันทบุรี,โรงงาน
6,2563,2,มะขาม,โรงงาน
7,2563,2,ขลุง,โรงงาน
8,2563,2,สอยดาว,โรงงาน
9,2564,2,เมืองจันทบุรี,โรงงาน
10,2564,2,มะขาม,โรงงาน
11,2564,2,ขลุง,โรงงาน
12,2564,2,สอยดาว,โรงงาน
13,2564,1,เขาคิชฌกูฏ,โรงงาน
14,2564,1,นายายอาม,โรงงาน
15,2565,2,เมืองจันทบุรี,โรงงาน
16,2565,2,มะขาม,โรงงาน
17,2565,2,ขลุง,โรงงาน
18,2565,2,สอยดาว,โรงงาน
19,2565,1,เขาคิชฌกูฏ,โรงงาน
20,2565,1,นายายอาม,โรงงาน
21,2566,2,เมืองจันทบุรี,โรงงาน
22,2566,2,มะขาม,โรงงาน
23,2566,2,ขลุง,โรงงาน
24,2566,2,สอยดาว,โรงงาน
25,2566,1,เขาคิชฌกูฏ,โรงงาน
26,2566,1,นายายอาม,โรงงาน
27,2567,2,เมืองจันทบุรี,โรงงาน
28,2567,2,มะขาม,โรงงาน
29,2567,2,ขลุง,โรงงาน
30,2567,2,สอยดาว,โรงงาน
31,2567,1,เขาคิชฌกูฏ,โรงงาน
32,2567,1,นายายอาม,โรงงาน
33,2568,3,สอยดาว,โรงงาน
34,2568,1,มะขาม,โรงงาน
35,2568,1,ขลุง,โรงงาน
