จำนวน,ชนิดพืช,_id,ปี,อำเภอ
"41,863.07",ข้าวโพดเลี้ยงสัตว์,97,2567,พบพระ
"80,721.48",ข้าวโพดเลี้ยงสัตว์,98,2567,อุ้มผาง
"18,668.82",ข้าวโพดเลี้ยงสัตว์,99,2567,วังเจ้า
"41,001.70",มันสำปะหลัง,100,2567,เมืองตาก
"3,903.73",มันสำปะหลัง,101,2567,บ้านตาก
"5,592.17",มันสำปะหลัง,102,2567,สามเงา
"28,064.11",มันสำปะหลัง,103,2567,แม่ระมาด
"12,595.34",มันสำปะหลัง,104,2567,ท่าสองยาง
"14,279.61",มันสำปะหลัง,105,2567,แม่สอด
"20,949.07",มันสำปะหลัง,106,2567,พบพระ
"26,734.48",มันสำปะหลัง,107,2567,อุ้มผาง
"30,225.19",มันสำปะหลัง,108,2567,วังเจ้า
572.9,อ้อยโรงงาน,109,2567,เมืองตาก
"1,637.60",อ้อยโรงงาน,110,2567,สามเงา
"14,455.29",อ้อยโรงงาน,111,2567,แม่ระมาด
10,อ้อยโรงงาน,112,2567,ท่าสองยาง
"24,048.60",อ้อยโรงงาน,113,2567,แม่สอด
174.56,อ้อยโรงงาน,114,2567,พบพระ
"3,846.35",อ้อยโรงงาน,115,2567,วังเจ้า
141,กาแฟ,116,2567,เมืองตาก
76,กาแฟ,117,2567,บ้านตาก
11,กาแฟ,118,2567,สามเงา
102.79,กาแฟ,119,2567,แม่ระมาด
20.81,กาแฟ,120,2567,ท่าสองยาง
"1,688.53",กาแฟ,121,2567,แม่สอด
138.41,กาแฟ,122,2567,พบพระ
"1,557.61",กาแฟ,123,2567,อุ้มผาง
598.25,ยางพารา,124,2567,แม่ระมาด
559.36,ยางพารา,125,2567,ท่าสองยาง
"1,955.36",ยางพารา,126,2567,แม่สอด
425.37,ยางพารา,127,2567,พบพระ
"2,356.84",ยางพารา,128,2567,อุ้มผาง
496.25,ยางพารา,129,2567,วังเจ้า
"1,917.47",ลำไย,130,2567,เมืองตาก
"1,076.95",ลำไย,131,2567,บ้านตาก
"4,447.33",ลำไย,132,2567,สามเงา
10.25,ลำไย,133,2567,แม่ระมาด
1.5,ลำไย,134,2567,ท่าสองยาง
42.06,ลำไย,135,2567,แม่สอด
8.5,ลำไย,136,2567,พบพระ
2.75,ลำไย,137,2567,อุ้มผาง
"12,139.25",ลำไย,138,2567,วังเจ้า
86.25,อะโวคาโด,139,2567,เมืองตาก
46.75,อะโวคาโด,140,2567,บ้านตาก
1.75,อะโวคาโด,141,2567,สามเงา
63,อะโวคาโด,142,2567,แม่ระมาด
24.38,อะโวคาโด,143,2567,ท่าสองยาง
149.16,อะโวคาโด,144,2567,แม่สอด
"4,150.27",อะโวคาโด,145,2567,พบพระ
