ค่าข้อมูล,ที่มา,_id,ชื่อชุดข้อมูล,ปี,อำเภอ,หน่วยวัด
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,33,โรงงานแปรรูปสินค้าเกษตร,2563,อำเภอเขาค้อ,แห่ง
37,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,34,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอเมืองเพชรบูรณ์,แห่ง
18,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,35,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอชนแดน,แห่ง
14,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,36,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอหล่มสัก,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,37,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอหล่มเก่า,แห่ง
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,38,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอวิเชียรบุรี,แห่ง
12,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,39,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอศรีเทพ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,40,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอหนองไผ่,แห่ง
24,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,41,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอบึงสามพัน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,42,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอน้ำหนาว,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,43,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอวังโป่ง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,44,โรงงานแปรรูปสินค้าเกษตร,2564,อำเภอเขาค้อ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,45,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอเมืองเพชรบูรณ์,แห่ง
18,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,46,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอชนแดน,แห่ง
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,47,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอหล่มสัก,แห่ง
10,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,48,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอหล่มเก่า,แห่ง
15,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,49,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอวิเชียรบุรี,แห่ง
12,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,50,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอศรีเทพ,แห่ง
38,สำนักงานอุตสาหกรรมจังหวัดเพชรบูรณ์,51,โรงงานแปรรูปสินค้าเกษตร,2565,อำเภอหนองไผ่,แห่ง
