ผลผลิตที่ได้(กก.),พื้นที่ปลูก(ไร่),_id,ปี,ผลผลิต/ไร่,พื้นที่เก็บ(ไร่),อำเภอ
0,79,1,2563,0,0,เมืองอุทัยธานี
50352000,9107,2,2563,6604.41,7624,ทัพทัน
145693000,28818,3,2563,9404.4,15492,สว่างอารมณ์
228440200,24920,4,2563,11337.83,20148,หนองฉาง
2950000,735,5,2563,8845.58,333,หนองขาหย่าง
2535212000,299535,6,2563,8882.97,285401,บ้านไร่
280848000,37450,7,2563,9252.18,30354,ลานสัก
77231000,33913,8,2563,6382.73,12100,ห้วยคต
0,79,9,2564,0,0,เมืองอุทัยธานี
61525000,8333,10,2564,8420.01,7307,ทัพทัน
73426000,18922,11,2564,10652.26,6893,สว่างอารมณ์
124819000,19621,12,2564,11950.12,10445,หนองฉาง
6695000,609,13,2564,9071.82,738,หนองขาหย่าง
681000000,131423,14,2564,10021.19,67956,บ้านไร่
155082000,25616,15,2564,9365.14,16559,ลานสัก
192400000,24481,16,2564,8773.37,21930,ห้วยคต
0,0,17,2565,0,0,เมืองอุทัยธานี
32272000,4690,18,2565,8000,4034,ทัพทัน
99940000,17663,19,2565,10016.04,9978,สว่างอารมณ์
147537000,20124,20,2565,12579.86,11728,หนองฉาง
4423000,671,21,2565,13996.84,316,หนองขาหย่าง
1500524000,147024,22,2565,10181.53,147377,บ้านไร่
144800000,25508,23,2565,10000,14480,ลานสัก
205080000,23331,24,2565,9134.56,22451,ห้วยคต
0,79,25,2566,0,0,เมืองอุทัยธานี
15459375,4678,26,2566,8237.31,1876.75,ทัพทัน
81651000,21320.8,27,2566,10029.91,8140.75,สว่างอารมณ์
78256000,10513,28,2566,12015.35,6513,หนองฉาง
2131000,427,29,2566,7981.27,267,หนองขาหย่าง
1035024000,147514,30,2566,9327.99,110959,บ้านไร่
36020000,24907.5,31,2566,10000,3602,ลานสัก
138475000,21168.63,32,2566,9939.35,13932,ห้วยคต
0,79,33,2567,0,0,เมืองอุทัยธานี
17965000,5594.25,34,2567,7743.53,2320,ทัพทัน
122460500,24346.05,35,2567,10000,12246.05,สว่างอารมณ์
65136800,11708,36,2567,8597.78,7576,หนองฉาง
1220000,245,37,2567,7625,160,หนองขาหย่าง
1062737000,116314.25,38,2567,10392.5,102260,บ้านไร่
76835000,22382.5,39,2567,11805.33,6508.5,ลานสัก
244816200,21891.63,40,2567,9960.79,24578,ห้วยคต
0,0,41,2568,-,0,เมืองอุทัยธานี
20407750,2173.25,42,2568,7957.01,2564.75,ทัพทัน
122460500,12800,43,2568,10000,12246.05,สว่างอารมณ์
74236000,3825,44,2568,9146.87,8116,หนองฉาง
740000,85,45,2568,7400,100,หนองขาหย่าง
1268594000,107893.25,46,2568,10896.05,116427,บ้านไร่
92356000,3746,47,2568,11661.85,7919.5,ลานสัก
210954000,2819,48,2568,9995.92,21104,ห้วยคต
