เดือน,_id,ปี,ปริมาณผลผลิตสุกร,หน่วย
มกราคม,1,2568," 92,773.00 ",ตัว
กุมภาพันธ์,2,2568," 92,663.00 ",ตัว
มีนาคม,3,2568," 94,511.00 ",ตัว
เมษายน,4,2568," 94,445.00 ",ตัว
พฤษภาคม,5,2568," 93,361.00 ",ตัว
มิถุนายน,6,2568," 91,495.00 ",ตัว
กรกฎาคม,7,2568," 90,311.00 ",ตัว
สิงหาคม,8,2568," 91,238.00 ",ตัว
กันยายน,9,2568," 91,718.00 ",ตัว
ตุลาคม,10,2568," 94,609.00 ",ตัว
พฤศจิกายน,11,2568," 92,466.00 ",ตัว
ธันวาคม,12,2568," 92,885.00 ",ตัว
