เนื้อที่เพาะปลูก(ไร่),_id,ปีเพาะปลูก,อำเภอ,จังหวัด
18572,1,2556/57,เมืองตราด,ตราด
1117,2,2556/57,เขาสมิง,ตราด
107,3,2556/57,คลองใหญ่,ตราด
260,4,2556/57,แหลมงอบ,ตราด
624,5,2556/57,บ่อไร่,ตราด
16149,6,2557/58,เมืองตราด,ตราด
593,7,2557/58,เขาสมิง,ตราด
118,8,2557/58,คลองใหญ่,ตราด
365,9,2557/58,แหลมงอบ,ตราด
615,10,2557/58,บ่อไร่,ตราด
14807,11,2558/59,เมืองตราด,ตราด
473,12,2558/59,เขาสมิง,ตราด
131,13,2558/59,คลองใหญ่,ตราด
365,14,2558/59,แหลมงอบ,ตราด
494,15,2558/59,บ่อไร่,ตราด
14661,16,2559/60,เมืองตราด,ตราด
511,17,2559/60,เขาสมิง,ตราด
72,18,2559/60,คลองใหญ่,ตราด
365,19,2559/60,แหลมงอบ,ตราด
565,20,2559/60,บ่อไร่,ตราด
14251,21,2560/61,เมืองตราด,ตราด
217,22,2560/61,เขาสมิง,ตราด
32,23,2560/61,คลองใหญ่,ตราด
365,24,2560/61,แหลมงอบ,ตราด
483,25,2560/61,บ่อไร่,ตราด
13576,26,2561/62,เมืองตราด,ตราด
196,27,2561/62,เขาสมิง,ตราด
43,28,2561/62,คลองใหญ่,ตราด
328,29,2561/62,แหลมงอบ,ตราด
372,30,2561/62,บ่อไร่,ตราด
13629,31,2562/63,เมืองตราด,ตราด
209,32,2562/63,เขาสมิง,ตราด
43,33,2562/63,คลองใหญ่,ตราด
341,34,2562/63,แหลมงอบ,ตราด
330,35,2562/63,บ่อไร่,ตราด
13143,36,2563/64,เมืองตราด,ตราด
273,37,2563/64,เขาสมิง,ตราด
47,38,2563/64,คลองใหญ่,ตราด
323,39,2563/64,แหลมงอบ,ตราด
328,40,2563/64,บ่อไร่,ตราด
1,41,2563/64,เกาะกูด,ตราด
12819,42,2564/65,เมืองตราด,ตราด
88,43,2564/65,เขาสมิง,ตราด
31,44,2564/65,คลองใหญ่,ตราด
315,45,2564/65,แหลมงอบ,ตราด
293,46,2564/65,บ่อไร่,ตราด
12142,47,2565/66,เมืองตราด,ตราด
83,48,2565/66,เขาสมิง,ตราด
28,49,2565/66,คลองใหญ่,ตราด
300,50,2565/66,แหลมงอบ,ตราด
228,51,2565/66,บ่อไร่,ตราด
11840,52,2566/67,เมืองตราด,ตราด
90,53,2566/67,เขาสมิง,ตราด
25,54,2566/67,คลองใหญ่,ตราด
260,55,2566/67,แหลมงอบ,ตราด
180,56,2566/67,บ่อไร่,ตราด
