dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,-,1,text,year
2,ภาค,-,2,text,region
3,จังหวัด,-,3,text,province
4,ไตรมาส,-,4,text,quarter
5,เขตการปกครอง,-,5,text,area
6,เพศ,-,6,text,sex
7,กลุ่มอายุ ,-,7,text,age_group
8,ระดับการศึกษาที่สำเร็จ ระดับการศึกษา,-,8,text,level_of_educational_attainment
9,อาชีพ,-,9,text,occupation
10,สถานภาพการทำงาน,-,10,text,work_status
11,อุตสาหกรรม,-,11,text,industry
12,ค่าข้อมูล,-,12,numeric,value
13,หน่วยนับ,-,13,text,unit
14,ที่มาระดับกรม,-,14,text,source
