﻿year,sex,level_of_edu,quarter,_id,area,value,unit,source
2556,รวม,รวม,ไตรมาส 1,1,รวม,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,รวม,ไตรมาส 1,2,รวม,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,รวม,ไตรมาส 1,3,รวม,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,ไม่มีการศึกษา,ไตรมาส 1,4,รวม,0.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไม่มีการศึกษา,ไตรมาส 1,5,รวม,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไม่มีการศึกษา,ไตรมาส 1,6,รวม,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,ต่ำกว่าประถมศึกษา,ไตรมาส 1,7,รวม,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,ต่ำกว่าประถมศึกษา,ไตรมาส 1,8,รวม,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,ต่ำกว่าประถมศึกษา,ไตรมาส 1,9,รวม,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,ประถมศึกษา,ไตรมาส 1,10,รวม,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,ประถมศึกษา,ไตรมาส 1,11,รวม,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,ประถมศึกษา,ไตรมาส 1,12,รวม,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,มัธยมศึกษาตอนต้น,ไตรมาส 1,13,รวม,1.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนต้น,ไตรมาส 1,14,รวม,1.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนต้น,ไตรมาส 1,15,รวม,0.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),ไตรมาส 1,16,รวม,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนปลาย (สายสามัญ),ไตรมาส 1,17,รวม,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนปลาย (สายสามัญ),ไตรมาส 1,18,รวม,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),ไตรมาส 1,19,รวม,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),ไตรมาส 1,20,รวม,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),ไตรมาส 1,21,รวม,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,อุดมศึกษา (สายวิชาการ),ไตรมาส 1,22,รวม,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,อุดมศึกษา (สายวิชาการ),ไตรมาส 1,23,รวม,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,อุดมศึกษา (สายวิชาการ),ไตรมาส 1,24,รวม,1.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,อุดมศึกษา (สายวิชาชีพ),ไตรมาส 1,25,รวม,1.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,อุดมศึกษา (สายวิชาชีพ),ไตรมาส 1,26,รวม,1.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,อุดมศึกษา (สายวิชาชีพ),ไตรมาส 1,27,รวม,1.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,อุดมศึกษา (สายวิชาการศึกษา),ไตรมาส 1,28,รวม,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,อุดมศึกษา (สายวิชาการศึกษา),ไตรมาส 1,29,รวม,1.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,อุดมศึกษา (สายวิชาการศึกษา),ไตรมาส 1,30,รวม,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,อื่นๆ และไม่ทราบ,ไตรมาส 1,31,รวม,0.2,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,อื่นๆ และไม่ทราบ,ไตรมาส 1,32,รวม,0.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,รวม,ไตรมาส 1,33,ในเขตเทศบาล,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,รวม,ไตรมาส 1,34,ในเขตเทศบาล,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,รวม,ไตรมาส 1,35,ในเขตเทศบาล,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,ไม่มีการศึกษา,ไตรมาส 1,36,ในเขตเทศบาล,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไม่มีการศึกษา,ไตรมาส 1,37,ในเขตเทศบาล,0.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไม่มีการศึกษา,ไตรมาส 1,38,ในเขตเทศบาล,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,ต่ำกว่าประถมศึกษา,ไตรมาส 1,39,ในเขตเทศบาล,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,ต่ำกว่าประถมศึกษา,ไตรมาส 1,40,ในเขตเทศบาล,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,ประถมศึกษา,ไตรมาส 1,41,ในเขตเทศบาล,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,ประถมศึกษา,ไตรมาส 1,42,ในเขตเทศบาล,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,ประถมศึกษา,ไตรมาส 1,43,ในเขตเทศบาล,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,มัธยมศึกษาตอนต้น,ไตรมาส 1,44,ในเขตเทศบาล,0.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนต้น,ไตรมาส 1,45,ในเขตเทศบาล,1.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนต้น,ไตรมาส 1,46,ในเขตเทศบาล,0.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),ไตรมาส 1,47,ในเขตเทศบาล,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ชาย,มัธยมศึกษาตอนปลาย (สายสามัญ),ไตรมาส 1,48,ในเขตเทศบาล,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,หญิง,มัธยมศึกษาตอนปลาย (สายสามัญ),ไตรมาส 1,49,ในเขตเทศบาล,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),ไตรมาส 1,50,ในเขตเทศบาล,0.8,ร้อยละ,สำนักงานสถิติแห่งชาติ
