ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,ภาค,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ
39591700.19,38715602.26,ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,1,2565,39565990.96,39010914.65,รวม,กำลังแรงงาน
21273597.99,20816296.72,ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,2,2565,21202886.03,20939718.34,ชาย                         ,กำลังแรงงาน
18318102.21,17899305.54,ผู้มีงานทำ,  ทั่วราชอาณาจักร                  ,3,2565,18363104.94,18071196.31,หญิง                        ,กำลังแรงงาน
462490.32,607610.18,ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,4,2565,491408.79,546591.36,รวม,กำลังแรงงาน
224912.79,318127.33,ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,5,2565,243114.78,282082.3,ชาย                         ,กำลังแรงงาน
237577.54,289482.84,ผู้ว่างงาน,  ทั่วราชอาณาจักร                  ,6,2565,248294.01,264509.06,หญิง                        ,กำลังแรงงาน
88342.36,294960.72,รอฤดูกาล,  ทั่วราชอาณาจักร                  ,7,2565,31184.93,206453.28,รวม,กำลังแรงงาน
55666.97,165731.26,รอฤดูกาล,  ทั่วราชอาณาจักร                  ,8,2565,20792.46,129863.16,ชาย                         ,กำลังแรงงาน
32675.38,129229.46,รอฤดูกาล,  ทั่วราชอาณาจักร                  ,9,2565,10392.47,76590.12,หญิง                        ,กำลังแรงงาน
5692759.17,5617978.02,ผู้มีงานทำ,  กรุงเทพมหานคร                    ,10,2565,5634877.52,5625411.42,รวม,กำลังแรงงาน
2918601.58,2884932.12,ผู้มีงานทำ,  กรุงเทพมหานคร                    ,11,2565,2870118.63,2890423.97,ชาย                         ,กำลังแรงงาน
2774157.59,2733045.9,ผู้มีงานทำ,  กรุงเทพมหานคร                    ,12,2565,2764758.89,2734987.45,หญิง                        ,กำลังแรงงาน
69692.25,105570.14,ผู้ว่างงาน,  กรุงเทพมหานคร                    ,13,2565,65050.54,79708.8,รวม,กำลังแรงงาน
37752.49,54068.38,ผู้ว่างงาน,  กรุงเทพมหานคร                    ,14,2565,45184.4,47855.8,ชาย                         ,กำลังแรงงาน
31939.76,51501.76,ผู้ว่างงาน,  กรุงเทพมหานคร                    ,15,2565,19866.14,31853.0,หญิง                        ,กำลังแรงงาน
-,970.16,รอฤดูกาล,  กรุงเทพมหานคร                    ,16,2565,-,884.3,รวม,กำลังแรงงาน
-,-,รอฤดูกาล,  กรุงเทพมหานคร                    ,17,2565,-,884.3,ชาย                         ,กำลังแรงงาน
-,970.16,รอฤดูกาล,  กรุงเทพมหานคร                    ,18,2565,-,-,หญิง                        ,กำลังแรงงาน
12915831.07,12806431.39,ผู้มีงานทำ,     ภาคกลาง                          ,19,2565,12839360.53,12812141.68,รวม,กำลังแรงงาน
6910098.28,6819240.43,ผู้มีงานทำ,     ภาคกลาง                          ,20,2565,6892121.85,6840748.19,ชาย                         ,กำลังแรงงาน
6005732.79,5987190.96,ผู้มีงานทำ,     ภาคกลาง                          ,21,2565,5947238.68,5971393.49,หญิง                        ,กำลังแรงงาน
162507.89,157171.9,ผู้ว่างงาน,     ภาคกลาง                          ,22,2565,150496.27,149505.93,รวม,กำลังแรงงาน
75593.34,82801.6,ผู้ว่างงาน,     ภาคกลาง                          ,23,2565,75860.12,80513.03,ชาย                         ,กำลังแรงงาน
86914.54,74370.3,ผู้ว่างงาน,     ภาคกลาง                          ,24,2565,74636.14,68992.9,หญิง                        ,กำลังแรงงาน
16189.36,11866.12,รอฤดูกาล,     ภาคกลาง                          ,25,2565,681.63,10245.41,รวม,กำลังแรงงาน
11168.55,6492.71,รอฤดูกาล,     ภาคกลาง                          ,26,2565,681.63,6063.14,ชาย                         ,กำลังแรงงาน
5020.8,5373.41,รอฤดูกาล,     ภาคกลาง                          ,27,2565,-,4182.27,หญิง                        ,กำลังแรงงาน
6221818.83,6085527.5,ผู้มีงานทำ,     ภาคเหนือ                         ,28,2565,6191187.15,6077583.7,รวม,กำลังแรงงาน
3350050.12,3267908.89,ผู้มีงานทำ,     ภาคเหนือ                         ,29,2565,3327531.03,3278346.49,ชาย                         ,กำลังแรงงาน
2871768.7,2817618.61,ผู้มีงานทำ,     ภาคเหนือ                         ,30,2565,2863656.12,2799237.22,หญิง                        ,กำลังแรงงาน
59463.59,101765.12,ผู้ว่างงาน,     ภาคเหนือ                         ,31,2565,87491.83,82902.13,รวม,กำลังแรงงาน
26604.09,56830.43,ผู้ว่างงาน,     ภาคเหนือ                         ,32,2565,36456.37,39039.38,ชาย                         ,กำลังแรงงาน
32859.51,44934.69,ผู้ว่างงาน,     ภาคเหนือ                         ,33,2565,51035.47,43862.75,หญิง                        ,กำลังแรงงาน
16856.84,56848.62,รอฤดูกาล,     ภาคเหนือ                         ,34,2565,13655.49,47985.6,รวม,กำลังแรงงาน
10737.39,36205.64,รอฤดูกาล,     ภาคเหนือ                         ,35,2565,10243.35,26338.29,ชาย                         ,กำลังแรงงาน
6119.45,20642.98,รอฤดูกาล,     ภาคเหนือ                         ,36,2565,3412.13,21647.3,หญิง                        ,กำลังแรงงาน
9469832.78,8991270.23,ผู้มีงานทำ,  ภาคตะวันออกเฉียงเหนือ ,37,2565,9684439.22,9260118.78,รวม,กำลังแรงงาน
5173766.12,4969323.21,ผู้มีงานทำ,  ภาคตะวันออกเฉียงเหนือ ,38,2565,5242352.28,5052880.46,ชาย                         ,กำลังแรงงาน
4296066.67,4021947.02,ผู้มีงานทำ,  ภาคตะวันออกเฉียงเหนือ ,39,2565,4442086.93,4207238.33,หญิง                        ,กำลังแรงงาน
75213.67,115978.0,ผู้ว่างงาน,  ภาคตะวันออกเฉียงเหนือ ,40,2565,85400.36,109858.74,รวม,กำลังแรงงาน
39080.15,60444.41,ผู้ว่างงาน,  ภาคตะวันออกเฉียงเหนือ ,41,2565,38479.66,52192.93,ชาย                         ,กำลังแรงงาน
36133.52,55533.59,ผู้ว่างงาน,  ภาคตะวันออกเฉียงเหนือ ,42,2565,46920.7,57665.81,หญิง                        ,กำลังแรงงาน
54567.3,223704.3,รอฤดูกาล,  ภาคตะวันออกเฉียงเหนือ ,43,2565,16847.82,147083.79,รวม,กำลังแรงงาน
33320.06,122661.04,รอฤดูกาล,  ภาคตะวันออกเฉียงเหนือ ,44,2565,9867.49,96577.43,ชาย                         ,กำลังแรงงาน
21247.24,101043.26,รอฤดูกาล,  ภาคตะวันออกเฉียงเหนือ ,45,2565,6980.34,50506.37,หญิง                        ,กำลังแรงงาน
5291458.34,5214395.11,ผู้มีงานทำ,      ภาคใต้                           ,46,2565,5216126.55,5235659.06,รวม,กำลังแรงงาน
2921081.89,2874892.07,ผู้มีงานทำ,      ภาคใต้                           ,47,2565,2870762.23,2877319.23,ชาย                         ,กำลังแรงงาน
2370376.45,2339503.05,ผู้มีงานทำ,      ภาคใต้                           ,48,2565,2345364.32,2358339.83,หญิง                        ,กำลังแรงงาน
95612.92,127125.02,ผู้ว่างงาน,      ภาคใต้                           ,49,2565,102969.8,124615.76,รวม,กำลังแรงงาน
45882.72,63982.52,ผู้ว่างงาน,      ภาคใต้                           ,50,2565,47134.23,62481.16,ชาย                         ,กำลังแรงงาน
49730.2,63142.5,ผู้ว่างงาน,      ภาคใต้                           ,51,2565,55835.56,62134.61,หญิง                        ,กำลังแรงงาน
728.86,1571.52,รอฤดูกาล,      ภาคใต้                           ,52,2565,-,254.18,รวม,กำลังแรงงาน
440.97,371.87,รอฤดูกาล,      ภาคใต้                           ,53,2565,-,-,ชาย                         ,กำลังแรงงาน
287.89,1199.65,รอฤดูกาล,      ภาคใต้                           ,54,2565,-,254.18,หญิง                        ,กำลังแรงงาน
5202000.33,5261858.84,ทำงานบ้าน,  ทั่วราชอาณาจักร                  ,55,2565,5111008.85,5199164.42,รวม,ผู้ไม่อยู่ในกำลังแรงงาน
267970.84,290735.36,ทำงานบ้าน,  ทั่วราชอาณาจักร                  ,56,2565,284821.91,283230.91,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
4934029.49,4971123.48,ทำงานบ้าน,  ทั่วราชอาณาจักร                  ,57,2565,4826186.95,4915933.52,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
4543014.61,4856107.2,เรียนหนังสือ,  ทั่วราชอาณาจักร                  ,58,2565,4558353.39,4727021.05,รวม,ผู้ไม่อยู่ในกำลังแรงงาน
2140042.71,2242238.1,เรียนหนังสือ,  ทั่วราชอาณาจักร                  ,59,2565,2136761.18,2208156.81,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
2402971.9,2613869.1,เรียนหนังสือ,  ทั่วราชอาณาจักร                  ,60,2565,2421592.2,2518864.23,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
6933581.35,6728208.42,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ทั่วราชอาณาจักร                  ,61,2565,6963365.72,6870450.75,รวม,ผู้ไม่อยู่ในกำลังแรงงาน
2913800.94,2823176.47,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ทั่วราชอาณาจักร                  ,62,2565,2886579.9,2881539.44,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
4019780.41,3905031.96,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  ทั่วราชอาณาจักร                  ,63,2565,4076785.82,3988911.31,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
1911483.84,2049395.41,อื่น ๆ,  ทั่วราชอาณาจักร                  ,64,2565,1939869.36,2026770.53,รวม,ผู้ไม่อยู่ในกำลังแรงงาน
1125957.74,1253483.78,อื่น ๆ,  ทั่วราชอาณาจักร                  ,65,2565,1196570.74,1215929.07,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
785526.1,795911.64,อื่น ๆ,  ทั่วราชอาณาจักร                  ,66,2565,743298.62,810841.46,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
550437.28,565662.26,ทำงานบ้าน,  กรุงเทพมหานคร                    ,67,2565,581516.14,580569.94,รวม,ผู้ไม่อยู่ในกำลังแรงงาน
32371.39,22356.54,ทำงานบ้าน,  กรุงเทพมหานคร                    ,68,2565,38188.34,26498.53,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
518065.89,543305.71,ทำงานบ้าน,  กรุงเทพมหานคร                    ,69,2565,543327.8,554071.41,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
479829.15,499598.93,เรียนหนังสือ,  กรุงเทพมหานคร                    ,70,2565,450011.12,460226.82,รวม,ผู้ไม่อยู่ในกำลังแรงงาน
233869.39,235893.5,เรียนหนังสือ,  กรุงเทพมหานคร                    ,71,2565,210613.26,209395.28,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
245959.76,263705.43,เรียนหนังสือ,  กรุงเทพมหานคร                    ,72,2565,239397.86,250831.54,หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน
737231.59,691939.19,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  กรุงเทพมหานคร                    ,73,2565,750501.1,731499.32,รวม,ผู้ไม่อยู่ในกำลังแรงงาน
312981.2,304934.79,ยังเด็ก/ชรา ป่วย/พิการจนไม่สามารถทำงานได้,  กรุงเทพมหานคร                    ,74,2565,315253.45,320828.39,ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน
